model,cv_r_mean,cv_r_std,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std,cv_vaf_mean,cv_vaf_std
Gradient Boosting,0.9786459705850129,0.003732025890034829,0.9275858815180676,0.006650635235413028,3.0146392697205457,0.3018369118988228,2.230515099806543,0.1693571170681611,0.9282003851870779,0.006625286936638626
XGBoost,0.9527449950095797,0.004599688272838794,0.8645899726030433,0.016573811752646307,4.126310992075311,0.5165063288341964,3.0057643134580436,0.2523343466235034,0.8666468460291646,0.016484838261620387
Random Forest,0.924731367507707,0.007448711132661993,0.8470300367317464,0.013855804987253768,4.379616895143421,0.41662308825163963,3.2065989018311774,0.23847579161547255,0.8493564187615666,0.014069282082555297
RVM,0.8605100801422815,0.019178058407296923,0.7296928341859367,0.0324388119300473,5.81368223247274,0.5479990654533213,4.230739838101054,0.36694331094031507,0.7344072735958236,0.0336639348155559
Linear Regression,0.7890640942947895,0.02075833754754181,0.6099325581413599,0.03223345817931376,6.984627409436273,0.5234612186319082,5.463096035490495,0.3476350487911398,0.6151800382425863,0.0341163624605811
