CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.545455,0.641782,0.184280,0.787879,0.750000,0.064153,0.231076
0.181818,0.199622,0.161823,0.181818,0.250000,0.019348,0.542462
0.272727,0.259321,0.069353,0.393939,0.375000,0.010938,0.475781
0.454545,0.701493,0.223910,0.757576,0.625000,0.194712,0.071294
0.454545,0.440295,0.129458,0.787879,0.725000,0.065706,0.176138
0.727273,0.235078,0.120872,0.000000,0.125000,0.103567,0.099602
0.363636,0.850740,1.000000,0.666667,0.750000,1.000000,0.032292
0.363636,0.330221,0.266843,0.363636,0.350000,0.013672,0.919270
0.545455,0.738802,0.482827,0.787879,0.825000,0.194712,0.161250
0.363636,0.272387,0.097094,0.333333,0.325000,0.007359,0.645209
0.636364,0.645524,0.465654,0.696970,0.750000,0.093350,0.344726
0.636364,0.906710,0.396301,0.909091,0.825000,0.099760,0.279304
0.727273,0.208959,0.180978,0.000000,0.100000,0.133362,0.099602
0.636364,0.611932,0.465654,0.727273,0.750000,0.147837,0.213672
0.363636,0.850740,0.698151,0.727273,0.775000,0.231770,0.193542
0.363636,0.822756,0.568692,0.606061,0.700000,0.192707,0.193542
0.363636,0.402986,0.200132,0.545455,0.500000,0.020703,0.596771
0.636364,0.720141,0.655218,0.757576,0.800000,0.344952,0.108828
0.545455,0.533573,0.439234,0.666667,0.550000,0.068080,0.440763
0.545455,0.496264,0.551519,0.545455,0.550000,0.335938,0.091424
0.363636,0.699162,0.685601,0.606061,0.525000,0.265385,0.161250
0.545455,0.589555,0.577279,0.636364,0.575000,0.288612,0.119312
0.363636,0.266793,0.077279,0.363636,0.350000,0.010045,0.516041
0.727273,0.309696,0.223910,0.000000,0.025000,0.154648,0.099602
0.363636,0.430971,0.155218,0.484848,0.475000,0.026043,0.435521
0.363636,0.365665,0.206737,0.454545,0.375000,0.043750,0.354791
0.363636,0.617539,0.465654,0.606061,0.600000,0.205730,0.145104
0.363636,0.347017,0.094452,0.545455,0.475000,0.012278,0.516041
0.454545,0.272387,0.051519,0.515152,0.425000,0.005409,0.550640
0.272727,0.438430,0.420740,0.303030,0.275000,0.173077,0.161250
0.636364,0.496264,0.223910,0.757576,0.725000,0.091214,0.187461
0.272727,0.202849,0.167768,0.212121,0.225000,0.005925,0.930174
0.363636,0.328356,0.085865,0.484848,0.400000,0.011160,0.516041
0.545455,0.850740,0.155218,0.727273,0.700000,0.080529,0.161250
0.727273,0.169773,0.103038,0.000000,0.100000,0.150391,0.050325
0.454545,0.291048,0.054161,0.242424,0.275000,0.017221,0.340952
0.363636,0.440295,0.387715,0.545455,0.500000,0.138020,0.193542
0.272727,0.179109,0.085865,0.121212,0.275000,0.017659,0.405955
0.545455,0.384326,0.172391,0.575758,0.575000,0.028158,0.440763
0.636364,0.253727,0.482827,0.000000,0.075000,0.405048,0.056406
0.636364,0.347017,0.384412,0.151515,0.300000,0.266106,0.082617
0.363636,0.505588,0.223910,0.515152,0.525000,0.114582,0.145104
0.454545,0.317167,0.118890,0.454545,0.375000,0.027689,0.356049
0.454545,0.365665,0.163804,0.575758,0.475000,0.024038,0.475781
0.454545,0.514925,0.525760,0.454545,0.525000,0.378756,0.071294
0.545455,0.514925,0.310436,0.484848,0.575000,0.209736,0.091424
0.636364,0.664172,0.155218,0.333333,0.375000,0.112581,0.108828
0.363636,0.738802,0.482827,0.606061,0.625000,0.326172,0.080520
0.363636,0.477604,0.491413,0.515152,0.475000,0.147518,0.225834
0.363636,0.628728,0.486790,0.606061,0.650000,0.196214,0.161250
0.545455,0.291048,0.008587,0.212121,0.325000,0.006911,0.370937
0.363636,0.337681,0.074637,0.545455,0.475000,0.006544,0.596771
0.545455,0.813432,0.655218,0.848485,0.875000,0.296412,0.133361
0.363636,0.347017,0.073316,0.545455,0.475000,0.006349,0.596771
0.454545,0.589555,0.439234,0.212121,0.375000,0.326172,0.071294
0.363636,0.477604,0.387715,0.545455,0.575000,0.041992,0.596771
0.272727,0.393650,0.353369,0.272727,0.400000,0.149639,0.161250
0.545455,0.235078,0.180978,0.272727,0.250000,0.142127,0.091424
0.363636,0.384326,0.120872,0.636364,0.475000,0.011719,0.596771
0.454545,0.477604,0.223910,0.515152,0.575000,0.051683,0.326064
0.818182,0.664172,0.741083,0.727273,0.775000,0.344952,0.126232
0.818182,0.244402,0.138045,0.000000,0.375000,0.187200,0.044663
0.363636,0.384326,0.180978,0.515152,0.475000,0.075520,0.193542
0.545455,0.645524,0.482827,0.545455,0.550000,0.299880,0.091424
0.363636,0.458955,0.439234,0.484848,0.500000,0.238281,0.112812
0.363636,0.514925,0.424042,0.454545,0.500000,0.292969,0.080520
0.727273,0.207094,0.118230,0.000000,0.075000,0.125871,0.074858
0.363636,0.328356,0.077279,0.515152,0.475000,0.004339,0.677501
0.545455,0.888049,0.482827,0.787879,0.800000,0.299880,0.091424
0.363636,0.552233,0.223910,0.363636,0.400000,0.244793,0.048438
0.545455,0.832080,0.698151,0.787879,0.825000,0.341196,0.119312
0.454545,0.347017,0.023778,0.545455,0.450000,0.004567,0.475781
0.363636,0.240673,0.118890,0.272727,0.225000,0.002473,0.919270
0.363636,0.552233,0.500000,0.606061,0.600000,0.218750,0.145104
0.363636,0.514925,0.180978,0.515152,0.600000,0.082031,0.177396
0.363636,0.347017,0.077279,0.636364,0.475000,0.008017,0.564479
0.727273,0.347017,0.138045,0.000000,0.300000,0.175931,0.050325
0.454545,0.457091,0.266843,0.515152,0.550000,0.022236,0.700356
0.454545,0.272387,0.293263,0.333333,0.375000,0.388221,0.026421
0.818182,0.197757,0.129458,0.000000,0.075000,0.141226,0.068148
0.636364,0.813432,0.223910,0.939394,0.775000,0.112581,0.148249
0.636364,0.608203,0.396301,0.727273,0.825000,0.080529,0.344726
0.454545,0.395515,0.166446,0.515152,0.500000,0.018543,0.565737
0.363636,0.785447,0.741083,0.545455,0.475000,0.284856,0.161250
0.545455,0.869401,0.672391,0.727273,0.725000,0.329928,0.119312
0.636364,0.570894,0.396301,0.606061,0.675000,0.080529,0.344726
0.727273,0.197757,0.172391,0.060606,0.150000,0.129108,0.099602
0.272727,0.535450,0.480185,0.393939,0.400000,0.343407,0.073810
0.545455,0.888049,0.741083,0.787879,0.800000,0.435096,0.091424
0.818182,0.160449,0.146631,0.000000,0.075000,0.113350,0.102957
0.363636,0.238808,0.116909,0.303030,0.200000,0.002344,0.919270
0.363636,0.347017,0.124835,0.484848,0.450000,0.009114,0.677501
0.727273,0.660442,0.404888,0.757576,0.850000,0.157485,0.173621
0.454545,0.320897,0.249670,0.454545,0.475000,0.036058,0.475781
0.636364,0.546639,0.223910,0.606061,0.600000,0.144630,0.108828
0.272727,0.421634,0.206737,0.333333,0.375000,0.039183,0.388341
0.545455,0.608203,0.138045,0.696970,0.725000,0.119591,0.091424
0.363636,0.328356,0.077279,0.515152,0.475000,0.010045,0.516041
0.363636,0.384326,0.249670,0.393939,0.450000,0.040364,0.435521
0.454545,0.347017,0.077279,0.484848,0.300000,0.012019,0.475781
0.636364,0.757462,0.163804,0.787879,0.850000,0.090144,0.148249
0.363636,0.384326,0.353369,0.151515,0.275000,0.055989,0.435521
0.363636,0.533573,0.353369,0.515152,0.550000,0.038086,0.596771
0.545455,0.589555,0.223910,0.666667,0.700000,0.164663,0.091424
0.727273,0.188433,0.180978,0.000000,0.350000,0.133362,0.099602
0.363636,0.654848,0.120872,0.545455,0.600000,0.093750,0.112812
0.363636,0.552233,0.138045,0.515152,0.600000,0.090910,0.128958
0.454545,0.160449,0.180978,0.030303,0.150000,0.168419,0.071294
0.363636,0.348882,0.071995,0.575758,0.475000,0.006250,0.596771
0.454545,0.925370,0.568692,0.606061,0.650000,0.171340,0.221220
0.454545,0.514925,0.612285,0.454545,0.550000,0.699519,0.026421
0.363636,0.449619,0.525760,0.636364,0.575000,0.130859,0.274062
0.272727,0.151124,0.180978,0.030303,0.150000,0.058612,0.248689
0.363636,0.494399,0.293263,0.484848,0.500000,0.218750,0.080520
0.545455,0.356341,0.120872,0.545455,0.450000,0.007320,0.720486
0.363636,0.350747,0.079260,0.515152,0.475000,0.007031,0.596771
0.454545,0.347017,0.138045,0.515152,0.475000,0.026442,0.400923
0.363636,0.505588,0.383752,0.484848,0.525000,0.044510,0.564479
0.363636,0.328356,0.138045,0.484848,0.425000,0.042969,0.274062
0.363636,0.850740,0.655218,0.696970,0.775000,0.218750,0.193542
0.818182,0.664172,0.655218,0.757576,0.825000,0.308894,0.126232
0.363636,0.645524,0.646631,0.484848,0.525000,0.177518,0.241979
0.545455,0.589555,0.223910,0.757576,0.725000,0.044471,0.370937
0.727273,0.608203,0.404888,0.606061,0.675000,0.126010,0.222898
0.545455,0.636187,0.413474,0.757576,0.725000,0.333684,0.063326
0.363636,0.664172,0.663804,0.666667,0.625000,0.162109,0.274062
0.727273,0.151124,0.120872,0.000000,0.000000,0.163161,0.050325
0.363636,0.573127,0.612285,0.606061,0.575000,0.261067,0.145104
0.545455,0.757462,0.633421,0.606061,0.650000,0.477353,0.063326
0.545455,0.813432,0.612285,0.787879,0.800000,0.279078,0.133361
0.363636,0.365665,0.198151,0.454545,0.425000,0.007317,0.967708
0.909091,0.272387,0.138045,0.000000,0.050000,0.127103,0.084085
0.345455,0.368695,0.243065,0.363636,0.425000,0.012858,0.885301
0.545455,0.552233,0.138045,0.878788,0.700000,0.074519,0.161250
0.363636,0.514925,0.448481,0.545455,0.550000,0.199219,0.145104
0.454545,0.850740,0.612285,0.727273,0.825000,0.222755,0.176138
0.363636,0.552233,0.120872,0.636364,0.575000,0.057293,0.193542
0.818182,0.804095,0.913474,0.818182,0.825000,0.525240,0.091424
0.363636,0.473874,0.482827,0.545455,0.550000,0.179688,0.177396
0.363636,0.337681,0.180978,0.424242,0.350000,0.016926,0.629063
0.363636,0.421634,0.387715,0.575758,0.550000,0.138020,0.193542
