CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.363636,0.241935,0.321940,0.245455,0.545455,0.450000,0.074350,0.081880,0.074254,0.241979
0.272727,0.354839,0.293164,0.211688,0.545455,0.375000,0.038757,0.042515,0.038679,0.388341
0.272727,0.274194,0.289568,0.203247,0.575758,0.425000,0.050282,0.057598,0.050206,0.301111
0.363636,0.274194,0.316546,0.152597,0.484848,0.425000,0.044068,0.070359,0.043902,0.274062
0.272727,0.241935,0.352513,0.305195,0.363636,0.400000,0.081582,0.081206,0.081426,0.266094
0.272727,0.193548,0.415470,0.381169,0.303030,0.425000,0.122486,0.119489,0.122251,0.213672
0.363636,0.193548,0.411875,0.448701,0.303030,0.400000,0.154689,0.130081,0.154471,0.193542
0.363636,0.193548,0.401076,0.338961,0.242424,0.275000,0.120904,0.126763,0.120651,0.193542
0.363636,0.112903,0.420863,0.355844,0.454545,0.375000,0.196271,0.209710,0.196098,0.112812
0.363636,0.145161,0.498202,0.390260,0.363636,0.475000,0.174689,0.201000,0.174310,0.145104
0.363636,0.193548,0.424459,0.398052,0.545455,0.500000,0.139096,0.133952,0.138861,0.193542
0.272727,0.193548,0.442448,0.296753,0.484848,0.500000,0.098644,0.127146,0.098236,0.213672
0.363636,0.145161,0.447842,0.440260,0.333333,0.325000,0.193785,0.181646,0.193495,0.145104
0.272727,0.145161,0.442448,0.338961,0.242424,0.350000,0.141808,0.164153,0.141463,0.161250
0.272727,0.193548,0.424459,0.448701,0.393939,0.450000,0.141695,0.122041,0.141463,0.213672
0.363636,0.145161,0.478415,0.474675,0.303030,0.400000,0.206780,0.193397,0.206505,0.145104
0.363636,0.193548,0.469426,0.381169,0.333333,0.400000,0.134011,0.147776,0.133659,0.193542
0.363636,0.145161,0.496404,0.381169,0.484848,0.350000,0.171186,0.200309,0.170732,0.145104
0.272727,0.354839,0.406470,0.220130,0.333333,0.375000,0.040452,0.061809,0.040120,0.388341
0.454545,0.354839,0.361514,0.245455,0.363636,0.350000,0.054463,0.066658,0.054289,0.326064
0.272727,0.322581,0.413672,0.211688,0.424242,0.325000,0.043729,0.070332,0.043314,0.353533
0.363636,0.354839,0.406470,0.164935,0.545455,0.350000,0.034915,0.068700,0.034537,0.354791
0.363636,0.516129,0.388492,0.152597,0.606061,0.375000,0.019209,0.040735,0.018816,0.516041
0.363636,0.435484,0.370503,0.194805,0.545455,0.525000,0.031186,0.048240,0.030895,0.435521
0.363636,0.548387,0.370503,0.177922,0.575758,0.525000,0.020452,0.035163,0.020173,0.548333
0.363636,0.564516,0.365109,0.152597,0.575758,0.500000,0.016497,0.033033,0.016174,0.564479
0.363636,0.516129,0.368705,0.092857,0.575758,0.450000,0.011299,0.038129,0.011011,0.516041
0.363636,0.564516,0.356109,0.126623,0.575758,0.450000,0.013333,0.031941,0.013094,0.564479
0.272727,0.596774,0.347120,0.134416,0.575758,0.525000,0.010734,0.024483,0.010492,0.650451
0.363636,0.596774,0.348918,0.150000,0.606061,0.525000,0.014576,0.028471,0.014343,0.596771
0.363636,0.596774,0.370503,0.135714,0.636364,0.475000,0.012994,0.030960,0.012683,0.596771
0.363636,0.596774,0.334536,0.135714,0.575758,0.450000,0.012881,0.026812,0.012683,0.596771
0.363636,0.596774,0.334536,0.161039,0.606061,0.525000,0.015819,0.026812,0.015610,0.596771
0.363636,0.596774,0.321940,0.124675,0.545455,0.475000,0.011638,0.025361,0.011416,0.596771
0.363636,0.596774,0.316546,0.140260,0.484848,0.450000,0.013446,0.024739,0.013268,0.596771
0.363636,0.596774,0.336334,0.087662,0.575758,0.475000,0.007458,0.027020,0.007220,0.596771
0.363636,0.596774,0.352513,0.152597,0.545455,0.475000,0.014915,0.028886,0.014634,0.596771
0.363636,0.387097,0.275174,0.065584,0.424242,0.300000,0.014011,0.039638,0.013983,0.387083
0.272727,0.354839,0.275174,0.065584,0.484848,0.350000,0.013898,0.039452,0.013896,0.388341
0.363636,0.516129,0.334536,0.135714,0.666667,0.375000,0.016836,0.033626,0.016585,0.516041
0.363636,0.548387,0.312951,0.075974,0.636364,0.425000,0.007684,0.027989,0.007514,0.548333
0.272727,0.596774,0.296759,0.075974,0.575758,0.475000,0.004407,0.019124,0.004278,0.650451
0.363636,0.354839,0.298557,0.084416,0.636364,0.475000,0.019774,0.048793,0.019707,0.354791
0.363636,0.516129,0.241005,0.075974,0.424242,0.425000,0.008701,0.021302,0.008780,0.516041
0.363636,0.516129,0.334536,0.109740,0.545455,0.475000,0.013446,0.033626,0.013241,0.516041
0.363636,0.677419,0.329131,0.118182,0.545455,0.500000,0.008136,0.020960,0.007913,0.677501
0.272727,0.596774,0.334536,0.109740,0.484848,0.475000,0.008136,0.023143,0.007880,0.650451
0.363636,0.435484,0.298557,0.075974,0.545455,0.475000,0.012768,0.037181,0.012683,0.435521
0.363636,0.564516,0.334536,0.092857,0.636364,0.475000,0.009153,0.029322,0.008985,0.564479
0.363636,0.516129,0.334536,0.109740,0.666667,0.500000,0.013446,0.033626,0.013241,0.516041
0.363636,0.516129,0.298557,0.084416,0.575758,0.475000,0.010056,0.028886,0.009894,0.516041
0.363636,0.580645,0.294962,0.073377,0.545455,0.450000,0.006215,0.023356,0.006079,0.580625
0.363636,0.516129,0.334536,0.174675,0.454545,0.375000,0.021921,0.033626,0.021716,0.516041
0.363636,0.516129,0.334536,0.152597,0.515152,0.450000,0.018983,0.033626,0.018816,0.516041
0.363636,0.596774,0.334536,0.135714,0.575758,0.500000,0.012881,0.026812,0.012683,0.596771
0.363636,0.580645,0.298557,0.084416,0.484848,0.400000,0.007458,0.023781,0.007379,0.580625
0.363636,0.564516,0.311153,0.084416,0.545455,0.425000,0.008136,0.026485,0.007958,0.564479
0.363636,0.516129,0.478415,0.169481,0.545455,0.450000,0.021582,0.052585,0.021046,0.516041
0.363636,0.516129,0.316546,0.101299,0.484848,0.400000,0.012316,0.031256,0.012125,0.516041
0.363636,0.677419,0.311153,0.084416,0.545455,0.475000,0.004633,0.019117,0.004446,0.677501
0.363636,0.677419,0.316546,0.084416,0.515152,0.425000,0.004633,0.019670,0.004446,0.677501
0.363636,0.596774,0.334536,0.092857,0.515152,0.475000,0.008023,0.026812,0.007805,0.596771
0.363636,0.677419,0.298557,0.072078,0.424242,0.375000,0.003277,0.017827,0.003143,0.677501
0.363636,0.709677,0.316546,0.101299,0.515152,0.525000,0.005424,0.017944,0.005292,0.709583
0.363636,0.758065,0.321940,0.177922,0.484848,0.425000,0.011299,0.016112,0.011122,0.758021
0.363636,0.596774,0.334536,0.135714,0.454545,0.450000,0.012881,0.026812,0.012683,0.596771
0.363636,0.677419,0.330940,0.161039,0.484848,0.425000,0.012429,0.021144,0.012251,0.677501
0.363636,0.677419,0.321940,0.161039,0.515152,0.475000,0.012429,0.020222,0.012251,0.677501
0.363636,0.741935,0.303962,0.144156,0.515152,0.450000,0.008588,0.015174,0.008462,0.741875
0.363636,0.677419,0.311153,0.105844,0.515152,0.425000,0.006780,0.019117,0.006613,0.677501
0.363636,0.596774,0.334536,0.092857,0.454545,0.400000,0.008023,0.026812,0.007805,0.596771
0.363636,0.677419,0.352158,0.069481,0.212121,0.300000,0.003164,0.023320,0.002909,0.677501
0.363636,0.693548,0.278865,0.132468,0.272727,0.300000,0.008927,0.015010,0.008856,0.693437
0.363636,0.822581,0.268161,0.171429,0.363636,0.300000,0.008701,0.008779,0.008651,0.822604
0.363636,0.596774,0.316546,0.135714,0.545455,0.500000,0.012881,0.024739,0.012683,0.596771
0.363636,0.677419,0.334536,0.139610,0.484848,0.450000,0.010282,0.021513,0.010080,0.677501
0.363636,0.838710,0.311153,0.186364,0.363636,0.350000,0.009605,0.011844,0.009489,0.838750
0.363636,0.838710,0.311153,0.169481,0.424242,0.400000,0.008249,0.011844,0.008072,0.838750
0.363636,0.838710,0.294962,0.144156,0.424242,0.425000,0.006102,0.010487,0.005944,0.838750
0.363636,0.677419,0.348918,0.161039,0.454545,0.375000,0.012542,0.022988,0.012251,0.677501
0.363636,0.838710,0.316546,0.169481,0.484848,0.400000,0.008249,0.012297,0.008072,0.838750
0.363636,0.677419,0.316546,0.177922,0.545455,0.450000,0.014124,0.019670,0.013983,0.677501
0.363636,0.758065,0.305760,0.084416,0.515152,0.425000,0.002712,0.014619,0.002537,0.758021
0.363636,0.758065,0.329131,0.135714,0.454545,0.375000,0.007458,0.016776,0.007220,0.758021
0.363636,0.758065,0.348918,0.126623,0.454545,0.425000,0.006667,0.018600,0.006439,0.758021
0.363636,0.758065,0.293164,0.144156,0.575758,0.375000,0.008136,0.013458,0.008000,0.758021
0.363636,0.919355,0.316546,0.169481,0.545455,0.400000,0.006328,0.009532,0.006178,0.919270
0.363636,0.596774,0.334536,0.177922,0.393939,0.375000,0.017740,0.026812,0.017561,0.596771
0.363636,0.435484,0.318344,0.194805,0.393939,0.400000,0.031073,0.040222,0.030895,0.435521
0.363636,0.274194,0.316546,0.152597,0.181818,0.225000,0.044068,0.070359,0.043902,0.274062
0.363636,0.225806,0.365109,0.448701,0.242424,0.225000,0.134689,0.099634,0.134577,0.225834
0.363636,0.354839,0.361514,0.201299,0.393939,0.400000,0.041469,0.060406,0.041249,0.354791
0.363636,0.112903,0.381289,0.398052,0.424242,0.225000,0.215593,0.191461,0.215610,0.112812
0.363636,0.274194,0.388492,0.279221,0.363636,0.300000,0.073446,0.086949,0.073171,0.274062
0.363636,0.596774,0.330940,0.381169,0.363636,0.300000,0.041130,0.026397,0.040976,0.596771
0.363636,0.596774,0.316546,0.322078,0.393939,0.375000,0.034237,0.024739,0.034146,0.596771
0.363636,0.677419,0.298557,0.338961,0.424242,0.375000,0.030508,0.017827,0.030460,0.677501
0.363636,0.629032,0.336334,0.296753,0.303030,0.250000,0.029266,0.024739,0.029037,0.629063
0.363636,0.516129,0.347120,0.194805,0.333333,0.275000,0.024633,0.035285,0.024390,0.516041
0.272727,0.290323,0.376026,0.342857,0.151515,0.300000,0.075593,0.071387,0.075335,0.318515
0.363636,0.306452,0.352513,0.364286,0.212121,0.375000,0.083051,0.069605,0.082927,0.306354
0.363636,0.112903,0.352513,0.237013,0.212121,0.225000,0.141582,0.178190,0.141463,0.112812
0.363636,0.322581,0.387605,0.360390,0.151515,0.300000,0.078079,0.072707,0.077854,0.322499
0.363636,0.435484,0.370503,0.364286,0.151515,0.275000,0.057175,0.048240,0.056910,0.435521
0.363636,0.354839,0.442448,0.398052,0.181818,0.175000,0.077853,0.075336,0.077463,0.354791
0.363636,0.516129,0.420863,0.389610,0.181818,0.200000,0.050395,0.045001,0.050035,0.516041
0.363636,0.483871,0.442448,0.391558,0.151515,0.175000,0.054576,0.052010,0.054190,0.483749
0.363636,0.354839,0.397481,0.347403,0.060606,0.200000,0.068362,0.067041,0.068098,0.354791
0.363636,0.354839,0.424459,0.381169,0.151515,0.125000,0.074689,0.072018,0.074341,0.354791
0.363636,0.435484,0.401076,0.406494,0.212121,0.175000,0.063729,0.052940,0.063415,0.435521
0.545455,0.274194,0.433448,0.364286,0.181818,0.150000,0.109492,0.115501,0.109193,0.231076
0.345455,0.370968,0.290775,0.118182,0.242424,0.300000,0.023842,0.043722,0.023730,0.377438
0.363636,0.516129,0.316546,0.220130,0.242424,0.225000,0.027910,0.031256,0.027734,0.516041
0.363636,0.564516,0.264388,0.211688,0.181818,0.175000,0.023390,0.020809,0.023364,0.564479
0.381818,0.596774,0.275376,0.228571,0.242424,0.275000,0.024068,0.020621,0.023979,0.586915
0.272727,0.596774,0.230231,0.188961,0.151515,0.175000,0.016158,0.012043,0.016246,0.650451
0.363636,0.774194,0.231579,0.157143,0.212121,0.175000,0.008701,0.007216,0.008780,0.774166
0.363636,0.838710,0.251804,0.188312,0.181818,0.175000,0.009718,0.006867,0.009666,0.838750
0.363636,0.758065,0.262590,0.169481,0.272727,0.225000,0.010395,0.010638,0.010341,0.758021
0.363636,0.838710,0.233814,0.131169,0.272727,0.225000,0.004859,0.005359,0.004878,0.838750
0.363636,0.919355,0.232017,0.133766,0.272727,0.225000,0.003390,0.003034,0.003446,0.919270
0.363636,0.919355,0.230219,0.131818,0.303030,0.200000,0.003277,0.002896,0.003317,0.919270
0.363636,0.838710,0.253850,0.100000,0.333333,0.275000,0.002260,0.007039,0.002260,0.838750
0.363636,0.822581,0.216653,0.096753,0.303030,0.250000,0.002260,0.004380,0.002299,0.822604
0.363636,0.919355,0.217623,0.101299,0.303030,0.250000,0.000904,0.001928,0.000976,0.919270
0.363636,0.887097,0.235612,0.144156,0.303030,0.250000,0.004859,0.004145,0.004878,0.887188
0.363636,0.919355,0.228421,0.151299,0.303030,0.250000,0.004746,0.002758,0.004812,0.919270
0.454545,1.000000,0.223016,0.194805,0.333333,0.300000,0.007910,0.002206,0.007994,0.925142
0.363636,1.000000,0.233814,0.126623,0.303030,0.250000,0.001582,0.001322,0.001576,1.000000
0.363636,0.919355,0.244601,0.150000,0.363636,0.300000,0.004633,0.004002,0.004683,0.919270
0.363636,0.758065,0.216901,0.116234,0.272727,0.250000,0.005424,0.006424,0.005478,0.758021
0.363636,0.838710,0.248397,0.182468,0.272727,0.275000,0.009153,0.006582,0.009165,0.838750
0.272727,0.806452,0.260721,0.149351,0.272727,0.275000,0.005537,0.006416,0.005505,0.877752
0.363636,0.596774,0.253116,0.112987,0.212121,0.200000,0.010169,0.017425,0.010116,0.596771
0.363636,0.596774,0.280580,0.101299,0.333333,0.275000,0.008814,0.020591,0.008780,0.596771
0.454545,0.709677,0.294962,0.212338,0.272727,0.250000,0.018644,0.018650,0.018540,0.655483
0.363636,0.725806,0.325535,0.233117,0.242424,0.250000,0.017627,0.017999,0.017480,0.725729
0.363636,0.564516,0.290526,0.222727,0.121212,0.225000,0.024746,0.023981,0.024708,0.564479
0.363636,0.725806,0.295293,0.217532,0.151515,0.275000,0.016158,0.015092,0.016009,0.725729
0.363636,0.645161,0.301372,0.244156,0.181818,0.300000,0.022486,0.019928,0.022403,0.645209
0.454545,0.919355,0.294962,0.313636,0.242424,0.225000,0.019774,0.010084,0.019686,0.850283
0.363636,0.967742,0.334536,0.281818,0.363636,0.275000,0.013672,0.009400,0.013427,0.967708
0.363636,0.758065,0.334536,0.211688,0.151515,0.275000,0.014463,0.017273,0.014244,0.758021
0.363636,0.758065,0.292064,0.244805,0.212121,0.275000,0.017401,0.013356,0.017312,0.758021
0.272727,0.822581,0.297966,0.297403,0.212121,0.250000,0.016836,0.008847,0.016771,0.895156
0.363636,0.806452,0.291981,0.279870,0.090909,0.200000,0.018644,0.011411,0.018543,0.806458
0.363636,0.596774,0.316546,0.279221,0.333333,0.325000,0.029379,0.024739,0.029268,0.596771
0.363636,0.758065,0.352513,0.330519,0.272727,0.400000,0.025424,0.018932,0.025171,0.758021
0.363636,0.870968,0.352513,0.313636,0.272727,0.300000,0.019209,0.014043,0.018912,0.871042
0.363636,0.725806,0.325535,0.279221,0.242424,0.275000,0.022147,0.017999,0.021953,0.725729
0.327273,0.758065,0.277303,0.291558,0.212121,0.225000,0.020565,0.010983,0.020482,0.783602
0.272727,0.854839,0.195553,0.181818,0.212121,0.225000,0.006780,0.000000,0.006895,0.930174
0.363636,0.887097,0.236002,0.159740,0.212121,0.225000,0.006102,0.004176,0.006163,0.887188
0.363636,0.919355,0.318344,0.279221,0.363636,0.350000,0.014802,0.009670,0.014634,0.919270
0.363636,0.887097,0.336334,0.253896,0.272727,0.250000,0.013785,0.012154,0.013626,0.887188
0.363636,0.806452,0.327333,0.203896,0.242424,0.275000,0.012090,0.014488,0.011947,0.806458
0.272727,0.806452,0.278510,0.249351,0.393939,0.425000,0.013559,0.007845,0.013538,0.877752
0.272727,0.758065,0.316192,0.214286,0.363636,0.450000,0.012429,0.012776,0.012269,0.825330
0.363636,0.758065,0.316546,0.211688,0.484848,0.425000,0.014350,0.015614,0.014244,0.758021
0.363636,0.967742,0.352513,0.211688,0.454545,0.425000,0.008588,0.010717,0.008285,0.967708
0.363636,0.919355,0.343525,0.264286,0.424242,0.425000,0.013672,0.011606,0.013463,0.919270
0.363636,0.709677,0.316747,0.223377,0.333333,0.450000,0.017401,0.017963,0.017234,0.709583
0.272727,0.741935,0.242011,0.286364,0.333333,0.425000,0.018983,0.007019,0.019044,0.807717
0.272727,0.709677,0.299894,0.275325,0.303030,0.425000,0.019548,0.013449,0.019449,0.772908
0.363636,0.596774,0.406470,0.296753,0.424242,0.425000,0.031638,0.035107,0.031220,0.596771
0.363636,0.709677,0.424814,0.370130,0.393939,0.475000,0.032090,0.028568,0.031640,0.709583
0.363636,0.532258,0.414725,0.357143,0.393939,0.500000,0.044407,0.042386,0.044044,0.532187
0.363636,0.564516,0.449923,0.396104,0.424242,0.500000,0.046215,0.043328,0.045731,0.564479
0.363636,0.435484,0.460426,0.347403,0.575758,0.425000,0.054802,0.062065,0.054310,0.435521
0.363636,0.838710,0.442448,0.305195,0.545455,0.425000,0.019887,0.022853,0.019422,0.838750
0.363636,1.000000,0.460426,0.364286,0.484848,0.400000,0.018870,0.017401,0.018386,1.000000
0.363636,0.677419,0.403797,0.284416,0.393939,0.450000,0.025311,0.028611,0.024901,0.677501
