Raw data,,,,,,,,,
"CRS
(RPM)","AR
(mm/min)",F/A(MF),T/D3(MT),"UEP
(MPa)","LEP
(MPa)",SE(kW· h/m3),FPI,TPI,PR(mm/r)
"1,4",41,"279,81 ","4,80 ","0,15","0,18","3,41 ","628,29 ","125,66 ","29,29 "
"1,4",27,"325,43 ","3,63 ","0,15","0,15","3,91 ","1109,63 ","144,15 ","19,29 "
"1,4",35,"304,14 ","3,92 ","0,17","0,17","3,27 ","800,00 ","120,00 ","25,00 "
"1,5",49,"305,66 ","3,30 ","0,17","0,17","2,14 ","615,31 ","77,45 ","32,67 "
"1,3",45,"349,76 ","4,83 ","0,17","0,19","2,93 ","664,44 ","106,89 ","34,62 "
"1,3",45,"348,24 ","4,44 ","0,16","0,17","2,70 ","661,56 ","98,22 ","34,62 "
"1,4",20,"364,96 ","3,13 ","0,17","0,17","4,56 ","1680,00 ","168,00 ","14,29 "
"1,4",35,"334,55 ","3,26 ","0,16","0,16","2,75 ","880,00 ","100,00 ","25,00 "
"1,3",35,"334,55 ","3,00 ","0,17","0,19","2,36 ","817,14 ","85,43 ","26,92 "
"1,4",38,"313,26 ","3,26 ","0,16","0,16","2,53 ","758,95 ","92,11 ","27,14 "
"1,4",32,"319,34 ","3,26 ","0,16","0,15","2,99 ","918,75 ","109,38 ","22,86 "
"1,3",37,"348,24 ","3,00 ","0,14","0,15","2,24 ","804,59 ","80,81 ","28,46 "
"1,3",35,"349,76 ","3,13 ","0,14","0,16","2,46 ","854,29 ","89,14 ","26,92 "
"1,4",40,"319,34 ","3,13 ","0,17","0,17","2,32 ","735,00 ","84,00 ","28,57 "
"1,4",40,"288,93 ","2,61 ","0,17","0,17","1,94 ","665,00 ","70,00 ","28,57 "
"1,4",38,"319,34 ","3,00 ","0,15","0,15","2,34 ","773,68 ","84,74 ","27,14 "
"1,4",40,"311,74 ","3,39 ","0,16","0,16","2,50 ","717,50 ","91,00 ","28,57 "
"1,3",40,"352,80 ","3,03 ","0,17","0,19","2,10 ","754,00 ","75,40 ","30,77 "
"1,3",40,"334,55 ","2,87 ","0,17","0,18","1,99 ","715,00 ","71,50 ","30,77 "
"1,4",35,"334,55 ","3,39 ","0,14","0,14","2,85 ","880,00 ","104,00 ","25,00 "
"1,4",45,"334,55 ","3,66 ","0,17","0,17","2,40 ","684,44 ","87,11 ","32,14 "
"1,4",40,"334,55 ","3,39 ","0,16","0,16","2,51 ","770,00 ","91,00 ","28,57 "
"1,4",35,"319,34 ","3,39 ","0,17","0,17","2,85 ","840,00 ","104,00 ","25,00 "
"1,3",45,"339,11 ","2,87 ","0,17","0,18","1,78 ","644,22 ","63,56 ","34,62 "
"1,3",45,"334,55 ","3,00 ","0,17","0,19","1,86 ","635,56 ","66,44 ","34,62 "
"1,4",32,"319,34 ","3,00 ","0,17","0,17","2,76 ","918,75 ","100,63 ","22,86 "
"1,4",40,"304,14 ","2,61 ","0,12","0,12","1,94 ","700,00 ","70,00 ","28,57 "
"1,3",40,"349,76 ","2,94 ","0,18","0,19","2,04 ","747,50 ","73,13 ","30,77 "
"1,3",40,"342,15 ","3,00 ","0,18","0,19","2,08 ","731,25 ","74,75 ","30,77 "
"1,4",40,"281,33 ","2,09 ","0,15","0,14","1,56 ","647,50 ","56,00 ","28,57 "
"1,4",40,"273,72 ","2,74 ","0,16","0,16","2,03 ","630,00 ","73,50 ","28,57 "
"1,3",40,"349,76 ","2,88 ","0,17","0,19","2,00 ","747,50 ","71,83 ","30,77 "
"1,3",40,"349,76 ","3,13 ","0,18","0,2","2,17 ","747,50 ","78,00 ","30,77 "
"1,3",40,"342,15 ","3,07 ","0,17","0,19","2,12 ","731,25 ","76,38 ","30,77 "
"1,4",40,"319,34 ","3,00 ","0,18","0,18","2,22 ","735,00 ","80,50 ","28,57 "
"1,4",40,"304,14 ","2,35 ","0,18","0,18","1,76 ","700,00 ","63,00 ","28,57 "
"1,4",38,"316,30 ","2,61 ","0,17","0,19","2,04 ","766,32 ","73,68 ","27,14 "
"1,3",40,"342,15 ","2,94 ","0,18","0,19","2,03 ","731,25 ","73,13 ","30,77 "
"1,3",45,"342,15 ","3,00 ","0,17","0,19","1,86 ","650,00 ","66,44 ","34,62 "
"1,3",45,"349,76 ","2,96 ","0,17","0,19","1,84 ","664,44 ","65,58 ","34,62 "
"1,4",35,"308,70 ","2,61 ","0,18","0,18","2,21 ","812,00 ","80,00 ","25,00 "
"1,4",40,"304,14 ","2,01 ","0,18","0,18","1,51 ","700,00 ","53,90 ","28,57 "
"1,4",38,"304,14 ","2,61 ","0,17","0,19","2,04 ","736,84 ","73,68 ","27,14 "
"1,3",40,"342,15 ","2,96 ","0,18","0,19","2,05 ","731,25 ","73,78 ","30,77 "
"1,3",40,"357,36 ","3,13 ","0,18","0,19","2,17 ","763,75 ","78,00 ","30,77 "
"1,3",40,"339,11 ","3,13 ","0,17","0,18","2,16 ","724,75 ","78,00 ","30,77 "
"1,4",45,"319,34 ","3,79 ","0,16","0,19","2,48 ","653,33 ","90,22 ","32,14 "
"1,4",45,"308,70 ","3,26 ","0,17","0,21","2,15 ","631,56 ","77,78 ","32,14 "
"1,4",40,"329,99 ","3,13 ","0,16","0,18","2,32 ","759,50 ","84,00 ","28,57 "
"1,3",40,"345,19 ","3,13 ","0,17","0,19","2,17 ","737,75 ","78,00 ","30,77 "
"1,3",40,"342,15 ","3,13 ","0,17","0,19","2,16 ","731,25 ","78,00 ","30,77 "
"1,3",40,"349,76 ","3,39 ","0,17","0,19","2,34 ","747,50 ","84,50 ","30,77 "
"1,3",40,"352,80 ","3,46 ","0,15","0,18","2,38 ","754,00 ","86,13 ","30,77 "
"1,4",45,"326,95 ","3,39 ","0,13","0,17","2,24 ","668,89 ","80,89 ","32,14 "
"1,4",45,"304,14 ","2,61 ","0,13","0,17","1,74 ","622,22 ","62,22 ","32,14 "
"1,4",45,"288,93 ","2,61 ","0,13","0,16","1,73 ","591,11 ","62,22 ","32,14 "
"1,4",45,"304,14 ","2,61 ","0,13","0,16","1,74 ","622,22 ","62,22 ","32,14 "
