CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),PR(mm/r)
0.363636,0.596774,0.370503,0.135714,0.636364,0.475,0.596771
0.363636,0.596774,0.334536,0.135714,0.575758,0.45,0.596771
0.363636,0.596774,0.334536,0.161039,0.606061,0.525,0.596771
0.363636,0.596774,0.32194,0.124675,0.545455,0.475,0.596771
0.363636,0.596774,0.316546,0.14026,0.484848,0.45,0.596771
0.363636,0.596774,0.336334,0.087662,0.575758,0.475,0.596771
0.363636,0.596774,0.352513,0.152597,0.545455,0.475,0.596771
0.363636,0.387097,0.275174,0.065584,0.424242,0.3,0.387083
0.272727,0.354839,0.275174,0.065584,0.484848,0.35,0.388341
0.363636,0.516129,0.334536,0.135714,0.666667,0.375,0.516041
0.363636,0.548387,0.312951,0.075974,0.636364,0.425,0.548333
0.272727,0.596774,0.296759,0.075974,0.575758,0.475,0.650451
0.363636,0.354839,0.298557,0.084416,0.636364,0.475,0.354791
0.363636,0.516129,0.241005,0.075974,0.424242,0.425,0.516041
0.363636,0.516129,0.334536,0.10974,0.545455,0.475,0.516041
0.363636,0.677419,0.329131,0.118182,0.545455,0.5,0.677501
0.272727,0.596774,0.334536,0.10974,0.484848,0.475,0.650451
0.363636,0.435484,0.298557,0.075974,0.545455,0.475,0.435521
0.363636,0.564516,0.334536,0.092857,0.636364,0.475,0.564479
0.363636,0.516129,0.334536,0.10974,0.666667,0.5,0.516041
0.363636,0.516129,0.298557,0.084416,0.575758,0.475,0.516041
0.363636,0.580645,0.294962,0.073377,0.545455,0.45,0.580625
0.363636,0.516129,0.334536,0.174675,0.454545,0.375,0.516041
0.363636,0.516129,0.334536,0.152597,0.515152,0.45,0.516041
0.363636,0.596774,0.334536,0.135714,0.575758,0.5,0.596771
0.363636,0.580645,0.298557,0.084416,0.484848,0.4,0.580625
0.363636,0.564516,0.311153,0.084416,0.545455,0.425,0.564479
0.363636,0.516129,0.478415,0.169481,0.545455,0.45,0.516041
0.363636,0.516129,0.316546,0.101299,0.484848,0.4,0.516041
0.363636,0.677419,0.311153,0.084416,0.545455,0.475,0.677501
0.363636,0.677419,0.316546,0.084416,0.515152,0.425,0.677501
0.363636,0.596774,0.334536,0.092857,0.515152,0.475,0.596771
0.363636,0.677419,0.298557,0.072078,0.424242,0.375,0.677501
0.363636,0.709677,0.316546,0.101299,0.515152,0.525,0.709583
0.363636,0.758065,0.32194,0.177922,0.484848,0.425,0.758021
0.363636,0.596774,0.334536,0.135714,0.454545,0.45,0.596771
0.363636,0.677419,0.33094,0.161039,0.484848,0.425,0.677501
0.363636,0.677419,0.32194,0.161039,0.515152,0.475,0.677501
0.363636,0.741935,0.303962,0.144156,0.515152,0.45,0.741875
0.363636,0.677419,0.311153,0.105844,0.515152,0.425,0.677501
0.363636,0.596774,0.334536,0.092857,0.454545,0.4,0.596771
0.363636,0.677419,0.352158,0.069481,0.212121,0.3,0.677501
0.363636,0.693548,0.278865,0.132468,0.272727,0.3,0.693437
0.363636,0.822581,0.268161,0.171429,0.363636,0.3,0.822604
0.363636,0.596774,0.316546,0.135714,0.545455,0.5,0.596771
0.363636,0.677419,0.334536,0.13961,0.484848,0.45,0.677501
0.363636,0.83871,0.311153,0.186364,0.363636,0.35,0.83875
0.363636,0.83871,0.311153,0.169481,0.424242,0.4,0.83875
0.363636,0.83871,0.294962,0.144156,0.424242,0.425,0.83875
0.363636,0.677419,0.348918,0.161039,0.454545,0.375,0.677501
0.363636,0.83871,0.316546,0.169481,0.484848,0.4,0.83875
0.363636,0.677419,0.316546,0.177922,0.545455,0.45,0.677501
0.363636,0.758065,0.30576,0.084416,0.515152,0.425,0.758021
0.363636,0.758065,0.329131,0.135714,0.454545,0.375,0.758021
0.363636,0.758065,0.348918,0.126623,0.454545,0.425,0.758021
0.363636,0.758065,0.293164,0.144156,0.575758,0.375,0.758021
0.363636,0.919355,0.316546,0.169481,0.545455,0.4,0.91927
0.363636,0.596774,0.334536,0.177922,0.393939,0.375,0.596771
0.363636,0.435484,0.318344,0.194805,0.393939,0.4,0.435521
