CRS (RPM),AR (mm/min),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),PR(mm/r)
1.0,0.080645,0.28058,0.152597,0.0,0.1,0.035437
1.0,0.096774,0.224826,0.138961,0.0,0.125,0.045922
0.818182,0.080645,0.228421,0.152597,0.0,0.15,0.044663
0.909091,0.032258,0.298557,0.131818,0.0,0.125,0.00671
0.818182,0.112903,0.190645,0.169481,0.0,0.025,0.068148
0.909091,0.080645,0.226623,0.135714,0.0,0.125,0.039841
0.545455,0.129032,0.26259,0.237013,0.030303,0.125,0.105263
0.545455,0.145161,0.26259,0.279221,0.0,0.125,0.119312
0.636364,0.112903,0.334536,0.394805,0.151515,0.3,0.082617
0.454545,0.129032,0.417268,0.508442,0.393939,0.425,0.116377
0.727273,0.145161,0.226623,0.135714,0.0,0.125,0.099602
0.727273,0.112903,0.244601,0.152597,0.0,0.15,0.074858
0.545455,0.080645,0.40647,0.253896,0.30303,0.45,0.063326
0.636364,0.080645,0.56835,0.364286,0.30303,0.45,0.056406
0.454545,0.096774,0.586328,0.135714,0.606061,0.55,0.086391
0.545455,0.112903,0.586328,0.237013,0.484848,0.5,0.091424
0.545455,0.112903,0.496404,0.152597,0.606061,0.625,0.091424
0.545455,0.112903,0.550361,0.322078,0.515152,0.525,0.091424
0.545455,0.112903,0.496404,0.322078,0.484848,0.575,0.091424
0.545455,0.080645,0.550361,0.322078,0.454545,0.575,0.063326
0.454545,0.080645,0.56835,0.448701,0.212121,0.375,0.071294
0.545455,0.080645,0.496404,0.448701,0.454545,0.5,0.063326
0.545455,0.080645,0.514382,0.483117,0.515152,0.575,0.063326
0.454545,0.112903,0.604317,0.491558,0.636364,0.675,0.101279
0.454545,0.112903,0.424459,0.203247,0.636364,0.625,0.101279
0.636364,0.145161,0.45683,0.253896,0.69697,0.675,0.108828
0.545455,0.112903,0.442448,0.194805,0.636364,0.625,0.091424
0.636364,0.080645,0.442448,0.126623,0.484848,0.6,0.056406
0.636364,0.096774,0.550361,0.211688,0.666667,0.675,0.069616
0.727273,0.080645,0.334536,0.033766,0.0,0.125,0.050325
0.636364,0.096774,0.514382,0.050649,0.666667,0.6,0.069616
0.545455,0.096774,0.496404,0.152597,0.636364,0.625,0.077375
0.545455,0.112903,0.532371,0.194805,0.666667,0.675,0.091424
0.545455,0.048387,0.622306,0.194805,0.666667,0.675,0.035437
0.545455,0.080645,0.640284,0.322078,0.636364,0.725,0.063326
0.545455,0.064516,0.604317,0.322078,0.666667,0.725,0.049486
0.545455,0.080645,0.676263,0.406494,0.666667,0.75,0.063326
0.545455,0.129032,0.69424,0.575974,0.636364,0.7,0.105263
0.363636,0.112903,0.604317,0.10974,0.848485,0.6,0.112812
0.454545,0.112903,0.532371,0.152597,0.848485,0.825,0.101279
0.363636,0.274194,0.496404,0.144156,0.909091,0.775,0.274062
0.363636,0.274194,0.514382,0.169481,0.878788,0.775,0.274062
0.363636,0.225806,0.532371,0.237013,0.878788,0.85,0.225834
0.272727,0.193548,0.676263,0.406494,0.848485,0.875,0.213672
0.363636,0.112903,0.820142,0.406494,0.757576,0.8,0.112812
0.363636,0.354839,0.766186,0.703247,0.515152,0.625,0.354791
0.363636,0.193548,0.793164,0.575974,0.606061,0.7,0.193542
0.363636,0.112903,0.802153,0.618831,0.515152,0.625,0.112812
0.363636,0.193548,0.820142,0.703247,0.727273,0.775,0.193542
0.272727,0.193548,0.811153,0.661039,0.878788,0.825,0.213672
0.363636,0.193548,0.802153,0.661039,0.787879,0.725,0.193542
0.272727,0.145161,0.892088,0.491558,0.636364,0.875,0.16125
0.272727,0.193548,0.838131,0.618831,0.69697,0.775,0.213672
0.272727,0.112903,0.856109,0.575974,0.757576,0.85,0.126232
0.545455,0.145161,0.838131,0.661039,0.727273,0.8,0.119312
0.363636,0.354839,0.730219,0.10974,0.848485,0.825,0.354791
0.363636,0.354839,0.676263,0.237013,0.787879,0.8,0.354791
0.363636,0.274194,0.712229,0.406494,0.818182,0.875,0.274062
0.363636,0.193548,0.802153,0.508442,0.848485,0.825,0.193542
0.363636,0.193548,0.820142,0.491558,0.545455,0.625,0.193542
0.454545,0.241935,0.892088,0.575974,0.606061,0.65,0.22122
0.363636,0.129032,0.874098,0.592857,0.787879,0.75,0.128958
0.363636,0.193548,0.874098,0.703247,0.757576,0.8,0.193542
0.545455,0.193548,0.892088,0.745455,0.666667,0.75,0.16125
0.0,0.145161,0.640284,0.237013,0.69697,0.8,0.231076
0.545455,0.193548,0.784175,0.533766,0.727273,0.8,0.16125
0.818182,0.193548,0.766186,0.491558,0.636364,0.7,0.126232
0.545455,0.145161,0.820142,0.830519,0.818182,0.875,0.119312
0.454545,0.193548,0.838131,0.745455,0.787879,0.85,0.176138
0.545455,0.177419,0.784175,0.677922,0.757576,0.8,0.147201
0.545455,0.177419,0.807558,0.677922,0.757576,0.8,0.147201
0.545455,0.145161,0.820142,0.830519,0.69697,0.8,0.119312
0.545455,0.145161,0.838131,0.677922,0.727273,0.725,0.119312
0.545455,0.145161,0.748196,0.364286,0.727273,0.8,0.119312
0.545455,0.193548,0.712229,0.491558,0.787879,0.825,0.16125
0.545455,0.145161,0.784175,0.661039,0.787879,0.85,0.119312
0.636364,0.193548,0.730219,0.177922,0.787879,0.85,0.148249
0.636364,0.080645,0.802153,0.491558,0.909091,0.95,0.056406
0.636364,0.145161,0.748196,0.491558,0.818182,0.875,0.108828
0.545455,0.193548,0.550361,0.194805,0.727273,0.7,0.16125
0.545455,0.112903,0.586328,0.152597,0.69697,0.725,0.091424
0.636364,0.145161,0.640284,0.169481,0.333333,0.375,0.108828
0.545455,0.145161,0.748196,0.406494,0.878788,0.95,0.119312
0.545455,0.112903,0.820142,0.745455,0.909091,0.925,0.091424
0.545455,0.112903,0.820142,0.728571,0.727273,0.8,0.091424
0.545455,0.193548,0.838131,0.745455,0.818182,0.85,0.16125
0.545455,0.435484,0.550361,0.237013,0.878788,0.775,0.370937
0.818182,0.516129,0.676263,0.830519,0.909091,1.0,0.359195
0.545455,0.225806,0.775174,0.466234,0.727273,0.775,0.189138
0.727273,0.274194,0.784175,0.728571,0.818182,0.875,0.198155
0.727273,0.274194,0.892088,0.830519,0.909091,0.95,0.198155
0.818182,0.274194,0.964033,0.61039,0.878788,0.9,0.184525
0.636364,0.274194,0.856109,0.830519,0.727273,0.775,0.213672
0.454545,0.080645,0.964033,0.508442,0.909091,0.95,0.071294
0.636364,0.145161,0.730219,0.322078,0.848485,0.775,0.108828
0.636364,0.112903,0.766186,0.788312,0.818182,0.85,0.082617
0.636364,0.145161,0.658273,0.448701,0.757576,0.825,0.108828
0.636364,0.145161,0.730219,0.830519,0.69697,0.775,0.108828
0.636364,0.112903,0.820142,0.830519,0.848485,0.925,0.082617
0.636364,0.145161,0.766186,0.745455,0.818182,0.875,0.108828
0.545455,0.16129,0.730219,0.830519,0.69697,0.775,0.133361
0.545455,0.145161,0.802153,0.703247,0.787879,0.825,0.119312
0.545455,0.145161,0.766186,0.661039,0.757576,0.825,0.119312
0.636364,0.112903,0.784175,0.703247,0.848485,0.85,0.082617
0.636364,0.096774,0.820142,0.830519,0.848485,0.9,0.069616
0.272727,0.145161,0.874098,0.203247,0.969697,0.925,0.16125
0.272727,0.193548,0.640284,0.364286,0.818182,0.7,0.213672
0.363636,0.145161,0.856109,0.618831,0.787879,0.775,0.145104
0.545455,0.048387,0.838131,0.406494,0.818182,0.8,0.035437
0.636364,0.145161,0.676263,0.364286,0.818182,0.875,0.108828
0.636364,0.193548,0.712229,0.661039,0.848485,0.9,0.148249
0.545455,0.129032,0.820142,0.830519,0.818182,0.85,0.105263
0.636364,0.193548,0.739208,0.661039,0.787879,0.8,0.148249
0.727273,0.274194,0.712229,0.575974,0.757576,0.7,0.198155
0.636364,0.064516,0.811153,0.279221,0.757576,0.725,0.043405
0.363636,0.112903,0.964033,0.237013,0.757576,0.7,0.112812
0.545455,0.193548,0.640284,0.237013,0.818182,0.7,0.16125
0.636364,0.145161,0.640284,0.10974,0.757576,0.7,0.108828
0.545455,0.193548,0.604317,0.237013,0.818182,0.8,0.16125
0.545455,0.112903,0.820142,0.745455,0.818182,0.875,0.091424
0.545455,0.112903,0.766186,0.745455,0.848485,0.875,0.091424
0.545455,0.16129,0.784175,0.661039,0.848485,0.875,0.133361
0.545455,0.16129,0.784175,0.618831,0.787879,0.8,0.133361
0.636364,0.193548,0.56835,0.237013,0.818182,0.775,0.148249
0.636364,0.112903,0.676263,0.491558,0.818182,0.8,0.082617
0.636364,0.145161,0.69424,0.491558,0.787879,0.8,0.108828
0.545455,0.112903,0.69424,0.661039,0.727273,0.75,0.091424
0.636364,0.112903,0.730219,0.661039,0.818182,0.775,0.082617
0.636364,0.145161,0.69424,0.661039,0.757576,0.8,0.108828
0.636364,0.193548,0.69424,0.575974,0.757576,0.775,0.148249
0.636364,0.193548,0.604317,0.22013,0.727273,0.65,0.148249
0.545455,0.354839,0.496404,0.237013,0.727273,0.675,0.301111
0.545455,0.193548,0.640284,0.575974,0.69697,0.7,0.16125
0.636364,0.193548,0.586328,0.533766,0.787879,0.775,0.148249
0.454545,0.112903,0.676263,0.661039,0.636364,0.675,0.101279
0.545455,0.274194,0.820142,0.406494,0.939394,0.925,0.231076
0.636364,0.112903,0.820142,0.448701,0.757576,0.775,0.082617
0.636364,0.064516,0.820142,0.830519,0.69697,0.7,0.043405
0.545455,0.112903,0.802153,0.661039,0.818182,0.825,0.091424
0.636364,0.032258,0.820142,0.661039,0.757576,0.8,0.017194
0.545455,0.112903,0.856109,0.491558,0.787879,0.8,0.091424
0.545455,0.112903,0.838131,0.745455,0.787879,0.775,0.091424
0.545455,0.096774,0.802153,0.745455,0.848485,0.825,0.077375
0.636364,0.16129,0.856109,0.914935,0.848485,0.85,0.122038
0.545455,0.112903,0.856109,0.745455,0.787879,0.8,0.091424
0.636364,0.112903,0.820142,0.618831,0.878788,0.875,0.082617
0.636364,0.112903,0.856109,0.635714,0.878788,0.875,0.082617
0.636364,0.354839,0.640284,0.067532,0.909091,0.675,0.279304
0.636364,0.274194,0.604317,0.169481,0.787879,0.65,0.213672
0.545455,0.274194,0.618699,0.198052,0.787879,0.75,0.231076
0.545455,0.193548,0.807558,0.671429,0.787879,0.725,0.16125
0.636364,0.112903,0.784175,0.491558,0.787879,0.675,0.082617
0.636364,0.145161,0.820142,0.575974,0.818182,0.775,0.108828
0.545455,0.112903,0.877694,0.740909,0.787879,0.725,0.091424
0.636364,0.145161,0.838131,0.042208,1.0,0.825,0.108828
0.545455,0.193548,0.820142,0.169481,0.727273,0.7,0.16125
0.636364,0.193548,0.69424,0.322078,0.727273,0.7,0.148249
0.545455,0.193548,0.676263,0.237013,0.787879,0.725,0.16125
0.636364,0.193548,0.748196,0.406494,0.727273,0.725,0.148249
0.636364,0.112903,0.820142,0.491558,0.727273,0.725,0.082617
0.545455,0.080645,0.863844,0.42013,0.787879,0.8,0.063326
0.454545,0.112903,0.910065,0.237013,0.909091,0.9,0.101279
0.545455,0.354839,0.766186,0.491558,0.787879,0.775,0.301111
0.545455,0.354839,0.748196,0.575974,0.878788,0.85,0.301111
0.545455,0.274194,0.784175,0.575974,0.878788,0.825,0.231076
0.545455,0.193548,0.820142,0.830519,0.636364,0.65,0.16125
0.636364,0.193548,0.856109,1.0,0.484848,0.65,0.148249
0.545455,0.193548,0.910065,0.745455,0.69697,0.75,0.16125
0.545455,0.193548,0.892088,1.0,0.636364,0.65,0.16125
0.636364,0.516129,0.784175,0.237013,0.878788,0.75,0.410359
0.545455,0.354839,0.856109,0.575974,0.666667,0.7,0.301111
0.636364,0.080645,0.964033,0.618831,0.787879,0.775,0.056406
0.545455,0.274194,0.964033,1.0,0.787879,0.85,0.231076
0.636364,0.080645,1.0,0.745455,0.848485,0.875,0.056406
0.545455,0.193548,0.964033,1.0,0.848485,0.9,0.16125
0.545455,0.241935,0.856109,0.830519,1.0,0.925,0.203187
0.545455,0.435484,0.676263,0.745455,0.969697,0.85,0.370937
0.636364,0.354839,0.820142,0.661039,0.818182,0.775,0.279304
0.545455,0.193548,0.928054,0.914935,0.606061,0.7,0.16125
0.636364,0.354839,0.874098,0.406494,0.909091,0.825,0.279304
0.636364,0.274194,0.892088,0.745455,0.69697,0.725,0.213672
0.636364,0.112903,0.928054,0.830519,0.69697,0.775,0.082617
0.636364,0.274194,0.910065,0.830519,0.757576,0.8,0.213672
0.636364,0.193548,0.856109,0.745455,0.636364,0.65,0.148249
0.545455,0.274194,0.874098,0.830519,0.666667,0.7,0.231076
0.636364,0.112903,0.838131,0.881169,0.666667,0.725,0.082617
0.636364,0.193548,0.784175,0.237013,0.939394,0.775,0.148249
0.818182,0.193548,0.0,0.152597,0.787879,0.725,0.126232
0.727273,0.354839,0.784175,0.575974,0.909091,0.95,0.260013
0.818182,0.354839,0.676263,0.703247,0.727273,0.75,0.242818
0.636364,0.193548,0.712229,0.491558,0.757576,0.85,0.148249
0.818182,0.193548,0.69424,0.575974,0.727273,0.85,0.126232
0.090909,0.145161,0.136688,0.084416,0.030303,0.15,0.203187
0.181818,0.193548,0.190645,0.10974,0.030303,0.175,0.237576
0.272727,0.225806,0.145689,0.194805,0.030303,0.15,0.248689
0.272727,0.290323,0.118699,0.084416,0.060606,0.175,0.318515
0.272727,0.306452,0.136688,0.101299,0.121212,0.275,0.335919
0.272727,0.370968,0.172667,0.101299,0.121212,0.275,0.405955
0.363636,0.354839,0.154678,0.097403,0.181818,0.275,0.354791
0.272727,0.322581,0.172667,0.126623,0.181818,0.325,0.353533
0.272727,0.435484,0.170857,0.118182,0.212121,0.275,0.475781
0.272727,0.403226,0.199645,0.103896,0.212121,0.3,0.440763
0.363636,0.387097,0.172667,0.101299,0.212121,0.3,0.387083
0.363636,0.403226,0.190645,0.084416,0.272727,0.35,0.403229
0.363636,0.387097,0.188847,0.025325,0.393939,0.35,0.387083
0.363636,0.467742,0.217623,0.033766,0.424242,0.4,0.467813
0.363636,0.467742,0.223016,0.016883,0.393939,0.375,0.467813
0.363636,0.403226,0.226623,0.067532,0.424242,0.35,0.403229
0.363636,0.467742,0.226623,0.0,0.454545,0.375,0.467813
0.363636,0.435484,0.244601,0.033766,0.424242,0.4,0.435521
0.363636,0.435484,0.230219,0.050649,0.454545,0.4,0.435521
0.363636,0.435484,0.26259,0.025325,0.424242,0.425,0.435521
0.545455,0.435484,0.28058,0.025325,0.212121,0.325,0.370937
0.272727,0.467742,0.298557,0.101299,0.212121,0.325,0.510799
0.454545,0.451613,0.284175,0.103896,0.181818,0.3,0.41581
0.454545,0.370968,0.28058,0.07013,0.242424,0.275,0.340952
0.363636,0.435484,0.28058,0.075974,0.30303,0.3,0.435521
0.454545,0.516129,0.28058,0.135714,0.30303,0.375,0.475781
0.454545,0.516129,0.253601,0.10974,0.363636,0.375,0.475781
0.363636,0.5,0.253601,0.108442,0.272727,0.35,0.499895
0.363636,0.516129,0.248196,0.133117,0.30303,0.35,0.516041
0.363636,0.548387,0.239208,0.07013,0.272727,0.4,0.548333
0.272727,0.403226,0.271579,0.10974,0.333333,0.4,0.440763
0.454545,0.596774,0.289568,0.133117,0.272727,0.35,0.55064
0.454545,0.532258,0.298557,0.085714,0.484848,0.475,0.490669
0.363636,0.435484,0.28058,0.084416,0.484848,0.475,0.435521
0.545455,0.532258,0.284175,0.067532,0.454545,0.4,0.454812
0.545455,0.5,0.282377,0.067532,0.424242,0.475,0.426924
0.363636,0.435484,0.273377,0.101299,0.545455,0.525,0.435521
0.272727,0.403226,0.337753,0.237662,0.454545,0.45,0.440763
0.454545,0.403226,0.352513,0.169481,0.363636,0.475,0.370937
0.454545,0.5,0.334536,0.126623,0.272727,0.4,0.460893
0.454545,0.387097,0.352513,0.177922,0.424242,0.425,0.356049
0.454545,0.322581,0.343525,0.169481,0.515152,0.5,0.296079
0.363636,0.354839,0.334536,0.084416,0.454545,0.475,0.354791
0.454545,0.306452,0.379491,0.192208,0.454545,0.475,0.280981
0.454545,0.387097,0.356109,0.203247,0.484848,0.425,0.356049
0.454545,0.354839,0.298557,0.194805,0.484848,0.5,0.326064
0.363636,0.354839,0.363312,0.279221,0.454545,0.475,0.354791
0.454545,0.33871,0.334536,0.169481,0.454545,0.5,0.310967
0.272727,0.306452,0.379491,0.330519,0.424242,0.5,0.335919
0.454545,0.387097,0.440651,0.406494,0.333333,0.475,0.356049
0.363636,0.258065,0.467629,0.175974,0.272727,0.4,0.258125
0.363636,0.145161,0.514382,0.406494,0.393939,0.425,0.145104
0.363636,0.080645,0.465831,0.317532,0.333333,0.375,0.08052
0.363636,0.096774,0.462235,0.292208,0.212121,0.3,0.096666
0.272727,0.129032,0.491011,0.186364,0.272727,0.4,0.143846
0.181818,0.193548,0.325535,0.177922,0.424242,0.475,0.237576
0.363636,0.032258,0.408267,0.279221,0.515152,0.525,0.032292
0.363636,0.16129,0.446044,0.307143,0.393939,0.425,0.16125
0.363636,0.064516,0.478415,0.351299,0.424242,0.525,0.064374
0.363636,0.032258,0.496404,0.448701,0.424242,0.5,0.032292
0.363636,0.0,0.478415,0.335714,0.454545,0.5,0.0
0.363636,0.112903,0.526872,0.575974,0.30303,0.4,0.112812
0.363636,0.048387,0.478415,0.496753,0.363636,0.375,0.048438
0.363636,0.112903,0.496404,0.508442,0.484848,0.525,0.112812
0.363636,0.080645,0.496404,0.433766,0.454545,0.5,0.08052
0.363636,0.032258,0.505393,0.637013,0.363636,0.425,0.032292
0.363636,0.032258,0.517989,0.542857,0.484848,0.475,0.032292
0.272727,0.112903,0.523383,0.555195,0.515152,0.475,0.126232
0.272727,0.064516,0.516192,0.488961,0.393939,0.4,0.07381
0.363636,0.274194,0.370503,0.423377,0.454545,0.45,0.274062
0.272727,0.064516,0.487404,0.488961,0.363636,0.45,0.07381
0.363636,0.048387,0.532371,0.237013,0.363636,0.4,0.048438
0.272727,0.080645,0.514382,0.533766,0.484848,0.575,0.091424
0.272727,0.048387,0.532371,0.533766,0.393939,0.45,0.056406
0.272727,0.177419,0.435245,0.205195,0.424242,0.4,0.196268
0.363636,0.145161,0.352513,0.194805,0.484848,0.4,0.145104
0.272727,0.096774,0.460426,0.330519,0.212121,0.275,0.108828
0.363636,0.129032,0.458628,0.211688,0.363636,0.4,0.128958
0.363636,0.16129,0.424459,0.5,0.454545,0.475,0.16125
0.363636,0.112903,0.494607,0.451299,0.484848,0.45,0.112812
0.363636,0.080645,0.476617,0.305195,0.484848,0.5,0.08052
0.272727,0.112903,0.442448,0.472727,0.545455,0.5,0.126232
0.363636,0.16129,0.464033,0.508442,0.454545,0.475,0.16125
0.363636,0.064516,0.465831,0.483117,0.242424,0.275,0.064374
0.363636,0.112903,0.487404,0.377273,0.515152,0.55,0.112812
0.363636,0.112903,0.442448,0.448701,0.484848,0.5,0.112812
0.363636,0.306452,0.388492,0.266883,0.515152,0.525,0.306354
0.363636,0.193548,0.442448,0.491558,0.515152,0.525,0.193542
0.454545,0.225806,0.442448,0.364286,0.454545,0.5,0.206123
0.363636,0.064516,0.460426,0.466234,0.484848,0.475,0.064374
0.363636,0.080645,0.478415,0.431818,0.545455,0.55,0.08052
0.363636,0.177419,0.45683,0.491558,0.545455,0.55,0.177396
0.363636,0.193548,0.478415,0.44026,0.515152,0.55,0.193542
0.363636,0.145161,0.460426,0.364286,0.484848,0.5,0.145104
0.363636,0.241935,0.469426,0.364286,0.424242,0.475,0.241979
0.363636,0.145161,0.496404,0.364286,0.515152,0.55,0.145104
0.363636,0.354839,0.478415,0.406494,0.545455,0.5,0.354791
0.363636,0.354839,0.478415,0.364286,0.484848,0.525,0.354791
0.363636,0.241935,0.40647,0.305195,0.545455,0.55,0.241979
0.454545,0.322581,0.440651,0.305195,0.575758,0.525,0.296079
0.363636,0.322581,0.40647,0.253896,0.575758,0.575,0.322499
0.363636,0.467742,0.45683,0.355844,0.545455,0.575,0.467813
0.363636,0.435484,0.478415,0.364286,0.515152,0.525,0.435521
0.363636,0.435484,0.460426,0.279221,0.515152,0.525,0.435521
0.363636,0.306452,0.478415,0.355844,0.515152,0.5,0.306354
0.363636,0.258065,0.424459,0.330519,0.515152,0.5,0.258125
0.363636,0.274194,0.334536,0.253896,0.606061,0.5,0.274062
0.454545,0.435484,0.338131,0.186364,0.606061,0.525,0.400923
0.363636,0.274194,0.307558,0.096104,0.575758,0.55,0.274062
0.363636,0.596774,0.374098,0.169481,0.515152,0.5,0.596771
0.363636,0.564516,0.408267,0.167532,0.575758,0.55,0.564479
0.363636,0.354839,0.298557,0.169481,0.545455,0.475,0.354791
0.363636,0.354839,0.316546,0.161039,0.545455,0.5,0.354791
0.363636,0.774194,0.320142,0.163636,0.545455,0.5,0.774166
0.454545,0.596774,0.370503,0.211688,0.575758,0.5,0.55064
0.454545,0.580645,0.402874,0.224675,0.575758,0.55,0.535752
0.363636,0.596774,0.460426,0.398052,0.545455,0.575,0.596771
0.363636,0.596774,0.451437,0.364286,0.484848,0.5,0.596771
0.454545,0.483871,0.447842,0.341558,0.484848,0.45,0.445796
0.363636,0.580645,0.402874,0.35974,0.515152,0.425,0.580625
0.363636,0.483871,0.354311,0.245455,0.515152,0.525,0.483749
0.363636,0.435484,0.352513,0.270779,0.515152,0.45,0.435521
0.454545,0.516129,0.402874,0.273377,0.515152,0.525,0.475781
0.454545,0.612903,0.381289,0.180519,0.515152,0.5,0.565737
0.454545,0.66129,0.298557,0.044156,0.545455,0.475,0.61061
0.454545,0.516129,0.334536,0.04026,0.545455,0.45,0.475781
0.454545,0.677419,0.334536,0.10974,0.454545,0.475,0.625498
0.545455,0.66129,0.399279,0.205844,0.484848,0.5,0.566576
0.363636,0.645161,0.375896,0.262338,0.545455,0.5,0.645209
0.454545,0.677419,0.325535,0.158442,0.545455,0.525,0.625498
0.545455,0.758065,0.352513,0.152597,0.545455,0.45,0.650451
0.545455,0.83871,0.343525,0.135714,0.545455,0.45,0.720486
0.363636,0.677419,0.352513,0.169481,0.606061,0.55,0.677501
0.363636,0.596774,0.388492,0.213636,0.545455,0.5,0.596771
0.545455,0.806452,0.388492,0.279221,0.545455,0.525,0.692388
0.545455,0.677419,0.424459,0.322078,0.545455,0.525,0.580625
0.363636,0.5,0.424459,0.237013,0.606061,0.525,0.499895
0.363636,0.435484,0.370503,0.10974,0.636364,0.525,0.435521
0.363636,0.596774,0.298557,0.152597,0.575758,0.475,0.596771
0.363636,0.677419,0.334536,0.067532,0.545455,0.475,0.677501
0.363636,0.596774,0.334536,0.10974,0.575758,0.475,0.596771
0.363636,0.596774,0.361514,0.161039,0.545455,0.45,0.596771
0.454545,0.516129,0.352513,0.177922,0.575758,0.475,0.475781
0.545455,0.596774,0.375896,0.186364,0.545455,0.5,0.510799
0.363636,0.177419,0.496404,0.194805,0.515152,0.6,0.177396
0.363636,0.435484,0.39029,0.233117,0.515152,0.575,0.435521
0.545455,0.516129,0.370503,0.186364,0.575758,0.575,0.440763
0.454545,0.516129,0.375896,0.248052,0.515152,0.475,0.475781
0.363636,0.596774,0.316546,0.253896,0.484848,0.425,0.596771
0.454545,0.612903,0.316546,0.238961,0.515152,0.475,0.565737
0.454545,0.403226,0.368705,0.097403,0.515152,0.425,0.370937
0.454545,0.596774,0.302153,0.15974,0.515152,0.425,0.55064
0.545455,0.677419,0.314749,0.214286,0.515152,0.425,0.580625
0.545455,0.629032,0.325535,0.192857,0.545455,0.475,0.538687
0.454545,0.467742,0.325535,0.075974,0.575758,0.5,0.430908
0.363636,0.66129,0.285973,0.183766,0.545455,0.45,0.661355
0.454545,0.435484,0.334536,0.152597,0.515152,0.475,0.400923
0.454545,0.354839,0.352513,0.152597,0.484848,0.425,0.326064
0.454545,0.306452,0.352513,0.237013,0.424242,0.45,0.280981
0.272727,0.516129,0.370503,0.13961,0.424242,0.475,0.563221
0.363636,0.435484,0.370503,0.262338,0.393939,0.45,0.435521
0.363636,0.516129,0.370503,0.262338,0.515152,0.45,0.516041
0.454545,0.354839,0.41547,0.322078,0.393939,0.425,0.326064
0.454545,0.516129,0.309355,0.262338,0.454545,0.475,0.475781
0.363636,0.548387,0.341727,0.347403,0.848485,0.35,0.548333
0.454545,0.387097,0.388492,0.181818,0.454545,0.45,0.356049
0.454545,0.564516,0.325535,0.38961,0.454545,0.45,0.520654
0.454545,0.467742,0.318344,0.177922,0.515152,0.45,0.430908
0.363636,0.516129,0.316546,0.194805,0.454545,0.4,0.516041
0.363636,0.516129,0.316546,0.169481,0.484848,0.45,0.516041
0.363636,0.629032,0.325535,0.194805,0.424242,0.35,0.629063
0.363636,0.580645,0.311153,0.135714,0.515152,0.425,0.580625
0.363636,0.564516,0.343525,0.211688,0.515152,0.45,0.564479
0.454545,0.516129,0.325535,0.194805,0.393939,0.375,0.475781
0.363636,0.677419,0.323737,0.283117,0.424242,0.425,0.677501
0.454545,0.516129,0.334536,0.194805,0.393939,0.325,0.475781
0.454545,0.516129,0.334536,0.262338,0.363636,0.45,0.475781
0.454545,0.5,0.307558,0.194805,0.272727,0.35,0.460893
0.454545,0.354839,0.352513,0.270779,0.424242,0.35,0.326064
0.363636,0.354839,0.40647,0.364286,0.515152,0.6,0.354791
0.363636,0.516129,0.397481,0.347403,0.545455,0.475,0.516041
0.272727,0.516129,0.378238,0.347403,0.363636,0.475,0.563221
0.454545,0.612903,0.251804,0.20974,0.454545,0.45,0.565737
0.454545,0.387097,0.30576,0.133766,0.454545,0.375,0.356049
0.454545,0.516129,0.28058,0.152597,0.515152,0.425,0.475781
0.545455,0.741935,0.282377,0.112338,0.515152,0.425,0.636611
0.363636,0.677419,0.334536,0.211688,0.515152,0.475,0.677501
0.363636,0.677419,0.332738,0.186364,0.484848,0.425,0.677501
0.454545,0.274194,0.352513,0.101299,0.515152,0.425,0.251206
0.454545,0.516129,0.316546,0.10974,0.484848,0.4,0.475781
0.363636,0.516129,0.316546,0.092857,0.515152,0.475,0.516041
0.454545,0.564516,0.291366,0.10974,0.484848,0.4,0.520654
0.454545,0.467742,0.298557,0.10974,0.484848,0.375,0.430908
0.363636,0.548387,0.332738,0.092857,0.424242,0.375,0.548333
0.363636,0.516129,0.334536,0.101299,0.424242,0.4,0.516041
0.454545,0.596774,0.298557,0.101299,0.515152,0.425,0.55064
0.454545,0.596774,0.26259,0.067532,0.515152,0.425,0.55064
0.454545,0.564516,0.298557,0.092857,0.454545,0.375,0.520654
0.454545,0.596774,0.289568,0.118182,0.484848,0.4,0.55064
0.363636,0.596774,0.338131,0.094805,0.515152,0.475,0.596771
0.363636,0.596774,0.316546,0.084416,0.515152,0.45,0.596771
0.454545,0.516129,0.316546,0.118182,0.424242,0.35,0.475781
0.454545,0.677419,0.316546,0.135714,0.515152,0.425,0.625498
0.454545,0.596774,0.316546,0.118182,0.484848,0.4,0.55064
0.454545,0.516129,0.298557,0.118182,0.515152,0.425,0.475781
0.363636,0.677419,0.32194,0.084416,0.515152,0.45,0.677501
0.363636,0.677419,0.316546,0.092857,0.515152,0.475,0.677501
0.454545,0.467742,0.298557,0.092857,0.515152,0.425,0.430908
0.454545,0.596774,0.28058,0.067532,0.363636,0.3,0.55064
0.363636,0.596774,0.334536,0.088961,0.545455,0.475,0.596771
0.363636,0.596774,0.325535,0.092857,0.545455,0.475,0.596771
0.454545,0.596774,0.253601,0.033766,0.454545,0.35,0.55064
0.454545,0.596774,0.244601,0.075974,0.484848,0.4,0.55064
0.363636,0.596774,0.334536,0.085065,0.515152,0.475,0.596771
0.363636,0.596774,0.334536,0.101299,0.545455,0.5,0.596771
0.363636,0.596774,0.325535,0.097403,0.515152,0.475,0.596771
0.454545,0.596774,0.298557,0.092857,0.545455,0.45,0.55064
0.454545,0.596774,0.28058,0.050649,0.545455,0.45,0.55064
0.454545,0.564516,0.294962,0.067532,0.515152,0.475,0.520654
