estimator,n_estimators,learning_rate,max_depth,subsample,min_samples_leaf,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
gradient_boosting,500,0.05,3,1.0,1,0.7,0.15,0.15,837,180,180,0.9999749004176092,0.9999498013657522,2.7422017885017505e-06,0.0016559594767088205,0.0011282445003375084,0.9996141935989032,0.9992154158351559,4.7602664071328745e-05,0.006899468390486962,0.003052906833669665,0.999726484850539,0.9994501999171859,3.0796280328821796e-05,0.005549439640974735,0.0023151295711099653
gradient_boosting,500,0.05,3,1.0,1,0.6,0.2,0.2,717,240,240,0.9999616102897388,0.9999232210417646,4.218339924612485e-06,0.002053859762645075,0.0013622974548001194,0.9996501468906296,0.9992941921587537,4.0485963618164405e-05,0.006362858132801988,0.0032433787904226877,0.9997152364585015,0.9994301476232131,3.2134038638635613e-05,0.005668689322818425,0.0026909448412728134
gradient_boosting,500,0.05,3,1.0,1,0.7,0.1,0.2,837,120,240,0.9999704991173352,0.9999409955703592,3.23290056626553e-06,0.0017980268535996702,0.0012638060902899313,0.9996672251155677,0.9993212518132241,4.113667530105321e-05,0.006413787905836395,0.0030342662498752744,0.9998138728160522,0.9996274356068123,2.1008947393664986e-05,0.0045835518316764984,0.002137208960807237
