estimator,kernel,degree,gamma,coef0,tol,max_iter,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
rvm,rbf,3,scale,0.0,0.001,5000,0.7,0.15,0.15,837,180,180,0.9999999256934988,0.9999998513869928,8.118285691354327e-09,9.010152990573649e-05,6.915821976918121e-05,0.999986673022836,0.9999718004362366,1.7109373613914217e-06,0.0013080280430447283,0.0005973635239876454,0.9999026194150363,0.9998004384391271,1.1178160869020648e-05,0.003343375669741683,0.0009114740102663913
rvm,rbf,3,scale,0.0,0.001,5000,0.6,0.2,0.2,717,240,240,0.9999999012518979,0.9999998025037826,1.08507095968006e-08,0.00010416673939795082,7.832330921986245e-05,0.9999622340445754,0.9999222856557594,4.457785716831271e-06,0.0021113468963747458,0.0007536037983666327,0.9999346235044356,0.9998667549533475,7.5137029377299405e-06,0.0027411134485332673,0.0007914730678811742
rvm,rbf,3,scale,0.0,0.001,5000,0.7,0.1,0.2,837,120,240,0.9999999278024079,0.9999998556048105,7.911529567217538e-09,8.894677940891135e-05,6.721600650271947e-05,0.9999663752346843,0.9999301769527912,4.231743196551241e-06,0.0020571201220520013,0.0007477438350118582,0.9999399713007038,0.9998781417666645,6.871599273688818e-06,0.0026213735471482917,0.0007203867348905876
