estimator,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
xgboost,1000,0.05,4,0.8,0.8,1.0,0.7,0.15,0.15,837,180,180,0.99997358145485,0.9999471586290376,2.8865666194139447e-06,0.0016989898820810984,0.0012723081368287514,0.9983113025543006,0.9965896951080119,0.0002069116424066292,0.014384423603559135,0.008941058062801757,0.9974791942701374,0.9945349515350348,0.00030611702289347814,0.0174962002415804,0.009351969829009637
xgboost,1000,0.05,4,0.8,0.8,1.0,0.6,0.2,0.2,717,240,240,0.9999800624425548,0.999960120085484,2.1910565011497907e-06,0.0014802217743128193,0.0010859472370898064,0.9982116528904644,0.9961049230867157,0.00022342616925694398,0.014947446914337711,0.00897434916949918,0.9979883787355497,0.9957383547910729,0.00024031464531212854,0.015502085192390363,0.008921905751885971
xgboost,1000,0.05,4,0.8,0.8,1.0,0.7,0.1,0.2,837,120,240,0.999974763426153,0.9999495211804462,2.765775473352054e-06,0.0016630620774198582,0.001233564646951196,0.9982334107126228,0.995853847115078,0.0002512845681190264,0.015851957863905215,0.00811974061470628,0.9982848105340647,0.996368255836957,0.00020479445557266095,0.014310641340368396,0.007933646045923606
