estimator,kernel,C,epsilon,gamma,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
svr,rbf,10.0,0.01,scale,0.7,0.15,0.15,837,180,180,0.9996835347916558,0.9993032435983857,3.806172576773591e-05,0.006169418592358271,0.005340204911237627,0.9994311770032146,0.9988621579409426,6.90356952517694e-05,0.008308772186777622,0.006316903689279309,0.9990919316540254,0.9981735466564655,0.00010230622172171086,0.010114653811263679,0.006958548356927932
svr,rbf,10.0,0.01,scale,0.6,0.2,0.2,717,240,240,0.999686384381124,0.9993615573360031,3.507690441506588e-05,0.005922575826029235,0.004955290770863042,0.9993578584817773,0.9986882066382621,7.524600211877575e-05,0.008674445349345153,0.005963732005008932,0.9990593141699874,0.9981091483244646,0.0001066253353968233,0.01032595445452009,0.006747333953119935
svr,rbf,10.0,0.01,scale,0.7,0.1,0.2,837,120,240,0.999703148306772,0.9993664019333615,3.471535206576215e-05,0.005891973528942756,0.004999929142370259,0.9995222180729691,0.9990425942691317,5.802518437533799e-05,0.00761742636166166,0.00553341989633165,0.999168119184544,0.9983112805320652,9.522707782391938e-05,0.009758436238656241,0.0065293994300841245
