estimator,n_estimators,learning_rate,base_max_depth,base_min_samples_leaf,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
adaboost,500,0.05,3,1,0.7,0.15,0.15,837,180,180,0.9746519342741004,0.9460432748092031,0.002947495096965246,0.05429083805731171,0.0440560765785466,0.9710419582991925,0.9380602639710848,0.0037580371602799504,0.06130283158451941,0.04819294530770617,0.962559230967288,0.9191447632213696,0.0045289926570082,0.06729779087762243,0.054043892894023664
adaboost,500,0.05,3,1,0.6,0.2,0.2,717,240,240,0.9746219382758383,0.9460985674991665,0.0029614176844482225,0.05441890925448821,0.04418510829609736,0.9662401668298138,0.9309381960872951,0.003961465879547729,0.06294017699012078,0.04914468552218285,0.9673944251595961,0.9326834671867342,0.0037959867407016956,0.06161157959914431,0.049208438889406216
adaboost,500,0.05,3,1,0.7,0.1,0.2,837,120,240,0.9732902578176303,0.9437514792827496,0.003081902080663633,0.05551488161442509,0.04518951569978619,0.9645335870735197,0.9279227339760328,0.0043683639187302266,0.06609359968053054,0.05300818592679281,0.96589512017265,0.9292506754640588,0.003989562246127883,0.06316298161207942,0.050110501514152854
