CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.363636,0.370503,0.135714,0.636364,0.475,0.012683,0.596771
0.363636,0.334536,0.135714,0.575758,0.45,0.012683,0.596771
0.363636,0.334536,0.161039,0.606061,0.525,0.01561,0.596771
0.363636,0.32194,0.124675,0.545455,0.475,0.011416,0.596771
0.363636,0.316546,0.14026,0.484848,0.45,0.013268,0.596771
0.363636,0.336334,0.087662,0.575758,0.475,0.00722,0.596771
0.363636,0.352513,0.152597,0.545455,0.475,0.014634,0.596771
0.363636,0.275174,0.065584,0.424242,0.3,0.013983,0.387083
0.272727,0.275174,0.065584,0.484848,0.35,0.013896,0.388341
0.363636,0.334536,0.135714,0.666667,0.375,0.016585,0.516041
0.363636,0.312951,0.075974,0.636364,0.425,0.007514,0.548333
0.272727,0.296759,0.075974,0.575758,0.475,0.004278,0.650451
0.363636,0.298557,0.084416,0.636364,0.475,0.019707,0.354791
0.363636,0.241005,0.075974,0.424242,0.425,0.00878,0.516041
0.363636,0.334536,0.10974,0.545455,0.475,0.013241,0.516041
0.363636,0.329131,0.118182,0.545455,0.5,0.007913,0.677501
0.272727,0.334536,0.10974,0.484848,0.475,0.00788,0.650451
0.363636,0.298557,0.075974,0.545455,0.475,0.012683,0.435521
0.363636,0.334536,0.092857,0.636364,0.475,0.008985,0.564479
0.363636,0.334536,0.10974,0.666667,0.5,0.013241,0.516041
0.363636,0.298557,0.084416,0.575758,0.475,0.009894,0.516041
0.363636,0.294962,0.073377,0.545455,0.45,0.006079,0.580625
0.363636,0.334536,0.174675,0.454545,0.375,0.021716,0.516041
0.363636,0.334536,0.152597,0.515152,0.45,0.018816,0.516041
0.363636,0.334536,0.135714,0.575758,0.5,0.012683,0.596771
0.363636,0.298557,0.084416,0.484848,0.4,0.007379,0.580625
0.363636,0.311153,0.084416,0.545455,0.425,0.007958,0.564479
0.363636,0.478415,0.169481,0.545455,0.45,0.021046,0.516041
0.363636,0.316546,0.101299,0.484848,0.4,0.012125,0.516041
0.363636,0.311153,0.084416,0.545455,0.475,0.004446,0.677501
0.363636,0.316546,0.084416,0.515152,0.425,0.004446,0.677501
0.363636,0.334536,0.092857,0.515152,0.475,0.007805,0.596771
0.363636,0.298557,0.072078,0.424242,0.375,0.003143,0.677501
0.363636,0.316546,0.101299,0.515152,0.525,0.005292,0.709583
0.363636,0.32194,0.177922,0.484848,0.425,0.011122,0.758021
0.363636,0.334536,0.135714,0.454545,0.45,0.012683,0.596771
0.363636,0.33094,0.161039,0.484848,0.425,0.012251,0.677501
0.363636,0.32194,0.161039,0.515152,0.475,0.012251,0.677501
0.363636,0.303962,0.144156,0.515152,0.45,0.008462,0.741875
0.363636,0.311153,0.105844,0.515152,0.425,0.006613,0.677501
0.363636,0.334536,0.092857,0.454545,0.4,0.007805,0.596771
0.363636,0.352158,0.069481,0.212121,0.3,0.002909,0.677501
