estimator,kernel,degree,gamma,coef0,tol,max_iter,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
rvm,rbf,3,scale,0.0,0.001,5000,0.7,0.15,0.15,837,180,180,0.9931763255056301,0.9863933348278769,0.0007432915681791816,0.027263374115820325,0.018289945536312368,0.9598227037413513,0.9130769622947615,0.0052738359367273955,0.07262118104745609,0.03493052529617569,0.9776738557595217,0.9544540817897373,0.0025511907125537457,0.050509313126924874,0.028916506783439683
rvm,rbf,3,scale,0.0,0.001,5000,0.6,0.2,0.2,717,240,240,0.9887623123907535,0.9776432633362897,0.0012283093834554392,0.035047245019479624,0.023983500116155954,0.9799579651927891,0.9600909449256452,0.002289230095435772,0.04784589946312821,0.030622726650534383,0.9797050019663686,0.9571256461356964,0.0024176895627782045,0.04917000673965995,0.03171236781627903
rvm,rbf,3,scale,0.0,0.001,5000,0.7,0.1,0.2,837,120,240,0.9865354077856698,0.973247047214375,0.0014658159859593884,0.03828597636157903,0.026090655626677884,0.9754461631094178,0.9513838651929347,0.002946462607067946,0.05428132834656818,0.035160276313693985,0.9809525551571324,0.9601920440411482,0.002244775045283671,0.047379057032444945,0.03112028870528862
