estimator,kernel,C,epsilon,gamma,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
svr,rbf,10.0,0.01,scale,0.7,0.15,0.15,837,180,180,0.9829268468323008,0.963219283231519,0.002009220944277329,0.04482433428705137,0.024831497137818064,0.9752733373462126,0.9462125023909441,0.0032634206687438667,0.057126357040720416,0.036649504162438985,0.9806818074352002,0.959633506371998,0.002261072510750568,0.04755073617464369,0.028437610066900012
svr,rbf,10.0,0.01,scale,0.6,0.2,0.2,717,240,240,0.9824809098082917,0.9634192150548168,0.002009797855483487,0.04483076907084561,0.025545390651615315,0.9780411547860479,0.9520217835457008,0.002752086633669539,0.052460333907339354,0.03154852680843185,0.9786015412762601,0.9554638577365796,0.0025113979946488367,0.050113850327517605,0.03045943026322036
svr,rbf,10.0,0.01,scale,0.7,0.1,0.2,837,120,240,0.983828578536547,0.9662104466440088,0.0018513570395209957,0.04302739870734688,0.024505999318507412,0.9741912391987387,0.944748182587227,0.0033486293105231065,0.05786734234888541,0.03500257718905963,0.9778073835326934,0.9539292391247647,0.002597935308129361,0.050969945145441946,0.03116584781913665
