estimator,n_estimators,learning_rate,max_depth,subsample,min_samples_leaf,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
gradient_boosting,500,0.05,3,1.0,1,0.7,0.15,0.15,837,180,180,0.9995796193330576,0.9991592161710097,4.592951489908715e-05,0.00677713176049331,0.00482742027316407,0.9976877331334595,0.9953588077604505,0.0002815926257110229,0.01678072184713825,0.011542496834376085,0.9970097675419215,0.9936512948100132,0.00035561381467080435,0.018857725596444667,0.012111363234587487
gradient_boosting,500,0.05,3,1.0,1,0.6,0.2,0.2,717,240,240,0.9996440055534016,0.999287783264788,3.913015177814387e-05,0.006255409800975782,0.0045591930222158746,0.9962505598153546,0.992240390702517,0.0004451002685863101,0.021097399569290763,0.01311742700119627,0.9966784979903607,0.9930252528610678,0.0003933067636233977,0.01983196318127375,0.013323711293873441
gradient_boosting,500,0.05,3,1.0,1,0.7,0.1,0.2,837,120,240,0.9996164306526741,0.9992326159773788,4.204559312542301e-05,0.006484257330290263,0.004645030346243331,0.9972658008861607,0.9941130604556163,0.00035678787107270015,0.018888829266863,0.011960350978858036,0.9973310880308122,0.9944022036897501,0.0003156603538955635,0.017766832973143062,0.011779134828591609
