CRS (RPM),F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),TPI,PR(mm/r)
0.818182,0.664172,0.655218,0.757576,0.825000,0.363508,0.126232
0.363636,0.645524,0.646631,0.484848,0.525000,0.208904,0.241979
0.545455,0.589555,0.223910,0.757576,0.725000,0.052334,0.370937
0.727273,0.608203,0.404888,0.606061,0.675000,0.148289,0.222898
0.545455,0.636187,0.413474,0.757576,0.725000,0.392680,0.063326
0.363636,0.664172,0.663804,0.666667,0.625000,0.190771,0.274062
0.727273,0.151124,0.120872,0.000000,0.000000,0.192008,0.050325
0.363636,0.573127,0.612285,0.606061,0.575000,0.307224,0.145104
0.545455,0.757462,0.633421,0.606061,0.650000,0.561750,0.063326
0.545455,0.813432,0.612285,0.787879,0.800000,0.328419,0.133361
0.363636,0.365665,0.198151,0.454545,0.425000,0.008610,0.967708
0.909091,0.272387,0.138045,0.000000,0.050000,0.149576,0.084085
0.345455,0.368695,0.243065,0.363636,0.425000,0.015131,0.885301
0.545455,0.552233,0.138045,0.878788,0.700000,0.087694,0.161250
0.363636,0.514925,0.448481,0.545455,0.550000,0.234441,0.145104
0.454545,0.850740,0.612285,0.727273,0.825000,0.262139,0.176138
0.363636,0.552233,0.120872,0.636364,0.575000,0.067422,0.193542
0.818182,0.804095,0.913474,0.818182,0.825000,0.618105,0.091424
0.363636,0.473874,0.482827,0.545455,0.550000,0.211457,0.177396
0.363636,0.337681,0.180978,0.424242,0.350000,0.019919,0.629063
0.363636,0.421634,0.387715,0.575758,0.550000,0.162422,0.193542
0.545455,0.701493,0.629458,0.787879,0.800000,0.366160,0.119312
0.272727,0.538677,0.361295,0.515152,0.575000,0.040965,0.650451
0.454545,0.365665,0.223910,0.424242,0.450000,0.071623,0.280981
0.545455,0.645524,0.223910,0.757576,0.775000,0.144816,0.133361
0.363636,0.516790,0.379789,0.363636,0.475000,0.204180,0.145104
0.363636,0.347017,0.146631,0.606061,0.525000,0.017238,0.596771
0.545455,0.832080,0.655218,0.818182,0.825000,0.458982,0.091424
0.272727,0.384326,0.155218,0.424242,0.450000,0.015559,0.650451
0.727273,0.791041,0.293263,0.606061,0.700000,0.203568,0.111973
0.363636,0.309696,0.155218,0.545455,0.475000,0.040453,0.354791
0.272727,0.701493,0.396301,0.848485,0.875000,0.151344,0.213672
0.363636,0.514925,0.129458,0.909091,0.775000,0.048267,0.274062
0.363636,0.794771,0.612285,0.393939,0.450000,0.242104,0.193542
0.363636,0.347017,0.198151,0.151515,0.275000,0.015629,0.758021
0.545455,0.850740,0.827609,0.636364,0.650000,0.370580,0.161250
0.363636,0.347017,0.074637,0.515152,0.475000,0.004802,0.677501
0.545455,0.962679,0.913474,0.606061,0.700000,0.405941,0.161250
0.363636,0.496264,0.310436,0.545455,0.550000,0.211457,0.112812
0.272727,0.458955,0.463672,0.545455,0.500000,0.269307,0.126232
0.363636,0.496264,0.465654,0.303030,0.400000,0.242104,0.145104
0.363636,0.402986,0.138045,0.606061,0.375000,0.021015,0.516041
0.545455,0.514925,0.223910,0.727273,0.675000,0.066478,0.301111
0.272727,0.429106,0.198151,0.424242,0.325000,0.049873,0.353533
0.272727,0.869401,0.612285,0.696970,0.775000,0.222065,0.213672
0.454545,0.552233,0.361955,0.696970,0.750000,0.212634,0.131264
0.818182,0.141788,0.077279,0.000000,0.150000,0.094222,0.102957
0.545455,0.570894,0.379128,0.363636,0.500000,0.366160,0.063326
0.363636,0.682833,0.655218,0.606061,0.650000,0.299859,0.161250
0.363636,0.309696,0.138045,0.575758,0.475000,0.016089,0.596771
0.545455,0.514925,0.138045,0.636364,0.625000,0.158416,0.077375
0.636364,0.664172,0.051519,0.909091,0.675000,0.026874,0.279304
0.636364,0.888049,0.913474,0.848485,0.850000,0.503861,0.122038
0.363636,0.291048,0.068692,0.484848,0.475000,0.015322,0.435521
0.727273,0.231336,0.178336,0.030303,0.400000,0.242355,0.050325
0.363636,0.291048,0.085865,0.333333,0.275000,0.009194,0.596771
0.363636,0.850740,0.482827,0.545455,0.625000,0.196135,0.193542
0.636364,0.160449,0.051519,0.060606,0.075000,0.123055,0.056406
0.181818,0.274252,0.088507,0.363636,0.375000,0.006485,0.676033
0.363636,0.729478,0.612285,0.606061,0.700000,0.470032,0.080520
0.363636,0.195892,0.008587,0.393939,0.350000,0.007150,0.387083
0.636364,0.309696,0.180978,0.000000,0.100000,0.201634,0.069616
0.454545,0.533573,0.612285,0.545455,0.575000,0.305297,0.146362
0.272727,0.177232,0.103038,0.212121,0.275000,0.018388,0.475781
0.454545,0.962679,0.568692,0.696970,0.800000,0.245640,0.176138
0.363636,0.309696,0.068692,0.636364,0.475000,0.022065,0.354791
0.636364,0.720141,0.568692,0.757576,0.775000,0.283356,0.148249
0.636364,0.589555,0.353369,0.666667,0.700000,0.085336,0.344726
0.363636,0.333951,0.232497,0.545455,0.450000,0.086319,0.241979
0.454545,0.701493,0.534346,0.666667,0.575000,0.250354,0.161250
0.545455,0.757462,0.741083,0.666667,0.750000,0.423621,0.119312
0.363636,0.412310,0.266843,0.484848,0.525000,0.022984,0.758021
0.363636,0.328565,0.210040,0.333333,0.450000,0.019151,0.709583
0.363636,0.341410,0.120872,0.454545,0.375000,0.007355,0.758021
0.727273,0.514925,0.310436,0.727273,0.725000,0.148593,0.173621
1.000000,0.253727,0.051519,0.000000,0.200000,0.123055,0.056406
0.363636,0.322762,0.068692,0.545455,0.425000,0.008225,0.564479
0.363636,0.412310,0.465654,0.636364,0.600000,0.117521,0.322499
0.318182,0.576513,0.394980,0.515152,0.600000,0.069763,0.454812
0.636364,0.524249,0.439234,0.696970,0.750000,0.165488,0.213672
0.272727,0.272387,0.111625,0.363636,0.375000,0.006517,0.755295
0.363636,0.850740,0.396301,0.757576,0.800000,0.257426,0.112812
0.545455,0.430971,0.172391,0.424242,0.475000,0.071782,0.231076
0.818182,0.328356,0.310436,0.272727,0.300000,0.246818,0.091424
0.454545,0.291048,0.120872,0.303030,0.375000,0.021216,0.475781
0.363636,0.757462,0.094452,0.848485,0.825000,0.027581,0.354791
0.636364,0.770516,0.810436,0.757576,0.775000,0.388967,0.148249
0.363636,0.317167,0.068692,0.515152,0.425000,0.001839,0.758021
0.636364,0.682833,0.439234,0.757576,0.825000,0.288073,0.108828
0.545455,0.444025,0.138045,0.727273,0.775000,0.087694,0.161250
0.454545,0.701493,0.655218,0.636364,0.675000,0.427157,0.101279
0.272727,0.238820,0.175033,0.151515,0.175000,0.017988,0.650451
0.636364,0.589555,0.353369,0.666667,0.725000,0.137199,0.213672
0.363636,0.421634,0.293263,0.545455,0.550000,0.104197,0.241979
0.545455,0.701493,0.741083,0.969697,0.850000,0.158416,0.370937
0.545455,0.598879,0.396301,0.696970,0.750000,0.108911,0.301111
0.181818,0.302237,0.048877,0.333333,0.375000,0.003504,0.618788
0.636364,0.626863,0.155218,0.787879,0.650000,0.072136,0.213672
0.363636,0.337681,0.081902,0.393939,0.425000,0.008621,0.596771
0.727273,0.188433,0.138045,0.030303,0.125000,0.207037,0.050325
0.363636,0.626863,0.396301,0.606061,0.575000,0.165488,0.193542
0.363636,0.496264,0.344782,0.515152,0.500000,0.094445,0.306354
0.454545,0.291048,0.051519,0.393939,0.425000,0.003614,0.625498
0.272727,0.757462,0.508587,0.575758,0.450000,0.219890,0.178654
0.363636,0.458955,0.223910,0.545455,0.525000,0.073550,0.274062
0.363636,0.335816,0.270806,0.424242,0.425000,0.027992,0.677501
