estimator,test_vaf
gradient_boosting,0.9949789997452765
random_forest,0.991131710852725
xgboost,0.9896263631762575
rvm,0.9648294193059311
svr,0.9614471734976066
adaboost,0.9315564590432552
linear,0.637960187788505
