metric,direction,rank,model,value
test_mae,lower,1,Gradient Boosting,0.0486223680713841
test_mae,lower,2,SVR (RBF),0.0604261771774346
test_mae,lower,3,Random Forest,0.0651471443094963
test_mae,lower,4,XGBoost,0.065200924906071
test_mae,lower,5,RVM,0.0689962839887118
test_mae,lower,6,AdaBoost,0.0704269351102371
test_mae,lower,7,Linear Regression,0.1192771900498763
test_mse,lower,1,Gradient Boosting,0.0038539844251963
test_mse,lower,2,SVR (RBF),0.0058969440151095
test_mse,lower,3,XGBoost,0.0076196318431051
test_mse,lower,4,Random Forest,0.0076615797623932
test_mse,lower,5,AdaBoost,0.0077171103228668
test_mse,lower,6,RVM,0.0084471348278169
test_mse,lower,7,Linear Regression,0.0204817926834526
test_r,higher,1,Gradient Boosting,0.9825823781477026
test_r,higher,2,XGBoost,0.9551425818403708
test_r,higher,3,SVR (RBF),0.949837470635178
test_r,higher,4,Random Forest,0.9350292415996933
test_r,higher,5,AdaBoost,0.929206689327317
test_r,higher,6,RVM,0.9224292742039428
test_r,higher,7,Linear Regression,0.7994742928733514
test_r2,higher,1,Gradient Boosting,0.9316549591075258
test_r2,higher,2,SVR (RBF),0.8954259188961943
test_r2,higher,3,XGBoost,0.8648764518875593
test_r2,higher,4,Random Forest,0.8641325640191098
test_r2,higher,5,AdaBoost,0.8631478069449658
test_r2,higher,6,RVM,0.8502018400860625
test_r2,higher,7,Linear Regression,0.6367839606849418
test_rmse,lower,1,Gradient Boosting,0.0620804673403509
test_rmse,lower,2,SVR (RBF),0.0767915621348433
test_rmse,lower,3,XGBoost,0.0872905025939543
test_rmse,lower,4,Random Forest,0.0875304504866347
test_rmse,lower,5,AdaBoost,0.0878470848854237
test_rmse,lower,6,RVM,0.0919082957508022
test_rmse,lower,7,Linear Regression,0.1431146138011511
test_vaf,higher,1,Gradient Boosting,0.9316646619775176
test_vaf,higher,2,SVR (RBF),0.8992148397158095
test_vaf,higher,3,XGBoost,0.8648765778108529
test_vaf,higher,4,Random Forest,0.8644013410042584
test_vaf,higher,5,AdaBoost,0.8633654455528469
test_vaf,higher,6,RVM,0.8503153478511004
test_vaf,higher,7,Linear Regression,0.637960187788505
train_mae,lower,1,Gradient Boosting,0.0430729438234011
train_mae,lower,2,XGBoost,0.05805032638422
train_mae,lower,3,Random Forest,0.063911472021656
train_mae,lower,4,SVR (RBF),0.0659194200630962
train_mae,lower,5,AdaBoost,0.0703486951336325
train_mae,lower,6,RVM,0.072937598394832
train_mae,lower,7,Linear Regression,0.1132799588094166
train_mse,lower,1,Gradient Boosting,0.0033274505891877
train_mse,lower,2,XGBoost,0.0064087036256723
train_mse,lower,3,SVR (RBF),0.0065935759796944
train_mse,lower,4,Random Forest,0.0075983099154398
train_mse,lower,5,AdaBoost,0.0078907800672154
train_mse,lower,6,RVM,0.0100163590443433
train_mse,lower,7,Linear Regression,0.0209923289542935
train_r,higher,1,Gradient Boosting,0.9850721983642798
train_r,higher,2,XGBoost,0.9626374006466182
train_r,higher,3,SVR (RBF),0.9475541314711252
train_r,higher,4,Random Forest,0.9315219585551178
train_r,higher,5,AdaBoost,0.9269000926406096
train_r,higher,6,RVM,0.9054552364616278
train_r,higher,7,Linear Regression,0.7888759035060307
train_r2,higher,1,Gradient Boosting,0.940135548179344
train_r2,higher,2,XGBoost,0.8847004578584658
train_r2,higher,3,SVR (RBF),0.8813744033210088
train_r2,higher,4,Random Forest,0.8632981480388257
train_r2,higher,5,AdaBoost,0.8580362922003529
train_r2,higher,6,RVM,0.8197948166752907
train_r2,higher,7,Linear Regression,0.6223251911324565
train_rmse,lower,1,Gradient Boosting,0.0576840583626683
train_rmse,lower,2,XGBoost,0.0800543791786077
train_rmse,lower,3,SVR (RBF),0.0812008373090726
train_rmse,lower,4,Random Forest,0.087168285032114
train_rmse,lower,5,AdaBoost,0.0888300628572073
train_rmse,lower,6,RVM,0.1000817617967598
train_rmse,lower,7,Linear Regression,0.1448872974221466
train_vaf,higher,1,Gradient Boosting,0.940135548179344
train_vaf,higher,2,SVR (RBF),0.8915610145889724
train_vaf,higher,3,XGBoost,0.8847106993232643
train_vaf,higher,4,Random Forest,0.8632993844840504
train_vaf,higher,5,AdaBoost,0.8591267730512655
train_vaf,higher,6,RVM,0.8197948166895705
train_vaf,higher,7,Linear Regression,0.6223251911324565
