estimator,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
xgboost,1000,0.05,4,0.8,0.8,1.0,0.7,0.15,0.15,837,180,180,0.9999765143990492,0.9999530275084961,2.56596722485208e-06,0.0016018636723679328,0.0012168931182518204,0.9974320427551384,0.9944863787198707,0.0003345250559150533,0.01829002613215884,0.010869166149567979,0.9968108900336086,0.9936150505865056,0.00035764398400386243,0.018911477573258586,0.010466717252276343
xgboost,1000,0.05,4,0.8,0.8,1.0,0.6,0.2,0.2,717,240,240,0.9999821867471937,0.9999643732783452,1.9573803265055445e-06,0.001399064089491809,0.001075726284198993,0.9976560861584983,0.9949566388385919,0.0002892930973017807,0.01700861832430197,0.009957625981710853,0.9978102891405143,0.9955993796016706,0.0002481514716341447,0.015752824243104622,0.00927632769031922
xgboost,1000,0.05,4,0.8,0.8,1.0,0.7,0.1,0.2,837,120,240,0.9999761425198643,0.9999522855876269,2.6143113613484928e-06,0.0016168832244007273,0.001212978437985175,0.9985876446339099,0.9968879568598561,0.0001886106079886028,0.013733557732379574,0.009490393714465698,0.9980127641477166,0.9959808185477648,0.00022664208721921217,0.01505463673488046,0.009254012297781307
