estimator,n_estimators,learning_rate,base_max_depth,base_min_samples_leaf,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
adaboost,500,0.05,3,1,0.7,0.15,0.15,837,180,180,0.9820862237932582,0.9623147521359426,0.0020586327823723244,0.04537215866996328,0.03657760228348423,0.9781502371295573,0.9515868208915432,0.0029373474574049757,0.054197301200382436,0.042262381654770316,0.9771604211358794,0.9516973204831175,0.002705606829706289,0.052015447991017906,0.04096176067236795
adaboost,500,0.05,3,1,0.6,0.2,0.2,717,240,240,0.9816852282459586,0.9613154422665143,0.002125381980993383,0.046101865265880324,0.03697224522550045,0.9765415733982832,0.9516202900414057,0.002775116770851236,0.052679377092475534,0.04145142187902795,0.9777110471235785,0.9522654698599151,0.002691755441238044,0.05188213026888973,0.03926672575804527
adaboost,500,0.05,3,1,0.7,0.1,0.2,837,120,240,0.9812352186743766,0.9610456831406836,0.0021343386216864414,0.04619890281907614,0.03731701544188627,0.9750879172829711,0.9487532946111866,0.0031058927609691877,0.055730537059759146,0.04410510056590452,0.9778777198655828,0.9527899014339745,0.002662182686695608,0.05159634373379191,0.03898860564972629
