estimator,kernel,C,epsilon,gamma,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
svr,rbf,10.0,0.01,scale,0.7,0.15,0.15,837,180,180,0.9901176996255981,0.9781594483966095,0.0011930842455388667,0.03454105159862488,0.018378964306578177,0.9895255097214507,0.9745120771372866,0.0015464153933706006,0.03932448846928083,0.024839769614732197,0.9894007405342048,0.9778053048020736,0.0012432047147564681,0.03525910825242845,0.02059627337902675
svr,rbf,10.0,0.01,scale,0.6,0.2,0.2,717,240,240,0.9904207629151934,0.9795917496012694,0.0011212569097957413,0.03348517447760637,0.018784299862825673,0.9863497263123673,0.9699347066894421,0.0017245804027783112,0.04152806765042543,0.02297899851182792,0.9882568256480581,0.9760622530500057,0.0013498522016354348,0.03674033480570686,0.02158949758694817
svr,rbf,10.0,0.01,scale,0.7,0.1,0.2,837,120,240,0.990699311277273,0.9800786657558285,0.0010915060640497723,0.033037948847496154,0.01825304325359392,0.9870763133828091,0.9691862595337183,0.0018675185600028619,0.04321479561449831,0.02394467628390372,0.9885074994276636,0.9763877806826176,0.0013314956623799992,0.036489665144805034,0.021542823340774463
