F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.235612,0.152597,0.0,0.375,0.187684,0.230351,0.187992,0.044663
0.221218,0.152597,0.0,0.4,0.138192,0.160261,0.138462,0.074858
0.28058,0.237013,0.0,0.375,0.189266,0.196055,0.189493,0.074858
0.28058,0.194805,0.0,0.075,0.342147,0.412993,0.342589,0.01321
0.199645,0.237013,0.0,0.1,0.155141,0.119223,0.155473,0.099602
0.181656,0.14026,0.0,0.1,0.13096,0.136398,0.131317,0.074858
0.181656,0.152597,0.030303,0.125,0.176271,0.175717,0.176735,0.050325
0.201443,0.194805,0.0,0.1,0.133898,0.120127,0.134208,0.099602
0.199645,0.133117,0.0,0.075,0.126441,0.147244,0.126724,0.074858
0.298557,0.262338,0.181818,0.175,0.157401,0.157772,0.157472,0.108828
0.244601,0.237013,0.090909,0.175,0.189153,0.174362,0.189493,0.074858
0.514382,0.661039,0.484848,0.525,0.219887,0.161601,0.219512,0.193542
0.478415,0.491558,0.545455,0.475,0.244294,0.222559,0.243989,0.122038
0.496404,0.533766,0.454545,0.3,0.323277,0.285382,0.323077,0.091424
0.478415,0.322078,0.545455,0.55,0.180791,0.236253,0.180488,0.112812
0.496404,0.559091,0.484848,0.575,0.570508,0.489559,0.570732,0.035437
0.370503,0.126623,0.484848,0.475,0.244746,0.489559,0.244728,0.017194
0.226623,0.262338,0.454545,0.125,0.146441,0.114704,0.146717,0.119312
0.244601,0.237013,0.0,0.25,0.259435,0.241631,0.259824,0.043405
0.334536,0.152597,0.0,0.3,0.176723,0.290965,0.176735,0.050325
0.28058,0.237013,0.0,0.275,0.259548,0.270799,0.259824,0.043405
0.298557,0.322078,0.0,0.15,0.251977,0.217323,0.2522,0.069616
0.244601,0.067532,0.0,0.2,0.105311,0.208816,0.105441,0.056406
0.226623,0.22013,0.0,0.25,0.190395,0.174362,0.190694,0.068148
0.26259,0.194805,0.0,0.225,0.208362,0.236731,0.20863,0.050325
0.296759,0.211688,0.030303,0.25,0.185198,0.219153,0.185291,0.068148
0.298557,0.237013,0.0,0.275,0.225311,0.247099,0.225516,0.056406
0.244601,0.126623,0.0,0.3,0.131073,0.185846,0.131257,0.068148
0.28058,0.194805,0.0,0.275,0.17435,0.208816,0.174484,0.068148
0.28058,0.152597,0.0,0.25,0.216723,0.307259,0.21694,0.033131
0.40647,0.152597,0.0,0.075,0.147684,0.289211,0.147467,0.068148
0.307558,0.141558,0.030303,0.125,0.200565,0.32207,0.20075,0.035437
0.253601,0.10974,0.0,0.1,0.172768,0.274217,0.172983,0.035437
0.312951,0.126623,0.0,0.075,0.132655,0.232018,0.132731,0.06689
0.185251,0.126623,0.0,0.1,0.124972,0.141125,0.125361,0.072971
0.190645,0.114935,0.0,0.075,0.103277,0.12636,0.103595,0.087859
0.182732,0.067532,0.0,0.075,0.135141,0.211369,0.13546,0.035437
0.26259,0.152597,0.0,0.05,0.127797,0.171065,0.127955,0.084085
0.316546,0.322078,0.272727,0.3,0.210395,0.189675,0.210507,0.091424
0.298557,0.322078,0.242424,0.3,0.158418,0.133723,0.15855,0.133361
0.244601,0.194805,0.0,0.075,0.174237,0.185846,0.174484,0.068148
0.28058,0.152597,0.0,0.2,0.17661,0.25029,0.176735,0.050325
0.172667,0.135714,0.0,0.075,0.111073,0.113109,0.111445,0.091424
0.208634,0.22013,0.060606,0.1,0.182034,0.155452,0.182397,0.072971
0.190645,0.169481,0.0,0.075,0.157853,0.151392,0.158274,0.068148
0.190645,0.152597,0.0,0.05,0.156045,0.160962,0.156473,0.061858
0.208634,0.115584,0.151515,0.225,0.177853,0.234338,0.178236,0.035437
0.241005,0.211688,0.030303,0.125,0.196045,0.194907,0.196398,0.061858
0.226623,0.152597,0.0,0.1,0.156158,0.185208,0.156473,0.061858
0.28058,0.203247,0.030303,0.05,0.444068,0.521461,0.444653,0.000839
0.316546,0.237013,0.0,0.1,0.417175,0.484455,0.417636,0.009855
0.235612,0.152597,0.0,0.1,0.19887,0.244308,0.19925,0.039841
0.275174,0.277273,0.060606,0.125,0.168136,0.150521,0.168345,0.105263
0.298557,0.194805,0.0,0.1,0.171977,0.217323,0.172149,0.069616
0.28058,0.152597,0.0,0.1,0.210282,0.298144,0.210507,0.035437
0.224826,0.138961,0.0,0.125,0.174463,0.218742,0.174817,0.045922
0.228421,0.152597,0.0,0.15,0.187684,0.224608,0.187992,0.044663
0.298557,0.131818,0.0,0.125,0.299887,0.488283,0.300203,0.00671
0.190645,0.169481,0.0,0.025,0.157853,0.151392,0.158274,0.068148
0.226623,0.135714,0.0,0.125,0.184633,0.236731,0.184991,0.039841
0.26259,0.237013,0.030303,0.125,0.148927,0.144431,0.149103,0.105263
0.26259,0.279221,0.0,0.125,0.154011,0.130655,0.154221,0.119312
0.334536,0.394805,0.151515,0.3,0.266667,0.213921,0.266822,0.082617
0.417268,0.508442,0.393939,0.425,0.260565,0.203248,0.260446,0.116377
0.226623,0.135714,0.0,0.125,0.104181,0.132782,0.104441,0.099602
0.244601,0.152597,0.0,0.15,0.138305,0.174362,0.138462,0.074858
0.40647,0.253896,0.30303,0.45,0.221808,0.302131,0.221764,0.063326
0.56835,0.364286,0.30303,0.45,0.315932,0.438515,0.315572,0.056406
0.586328,0.135714,0.606061,0.55,0.116836,0.346352,0.116116,0.086391
0.586328,0.237013,0.484848,0.5,0.166102,0.333236,0.165478,0.091424
0.496404,0.152597,0.606061,0.625,0.120904,0.285382,0.12045,0.091424
0.550361,0.322078,0.515152,0.525,0.21096,0.314095,0.210507,0.091424
0.496404,0.322078,0.484848,0.575,0.210847,0.285382,0.210507,0.091424
0.550361,0.322078,0.454545,0.575,0.267232,0.397839,0.266792,0.063326
0.56835,0.448701,0.212121,0.375,0.327232,0.38109,0.326829,0.071294
0.496404,0.448701,0.454545,0.5,0.351412,0.361949,0.35122,0.063326
0.514382,0.483117,0.515152,0.575,0.373898,0.373912,0.373734,0.063326
0.604317,0.491558,0.636364,0.675,0.280113,0.318561,0.27955,0.101279
0.424459,0.203247,0.636364,0.625,0.136949,0.229234,0.13666,0.101279
0.45683,0.253896,0.69697,0.675,0.153785,0.232637,0.153471,0.108828
0.442448,0.194805,0.636364,0.625,0.143277,0.25667,0.142964,0.091424
0.442448,0.126623,0.484848,0.6,0.147797,0.349188,0.147467,0.056406
0.550361,0.211688,0.666667,0.675,0.18339,0.376127,0.182823,0.069616
0.334536,0.033766,0.0,0.125,0.087571,0.290965,0.08743,0.050325
0.514382,0.050649,0.666667,0.6,0.082034,0.353442,0.081426,0.069616
0.496404,0.152597,0.636364,0.625,0.135932,0.319412,0.13546,0.077375
0.532371,0.194805,0.666667,0.675,0.143503,0.304524,0.142964,0.091424
0.622306,0.194805,0.666667,0.675,0.248701,0.601218,0.24803,0.035437
0.640284,0.322078,0.636364,0.725,0.267458,0.457656,0.266792,0.063326
0.604317,0.322078,0.666667,0.725,0.307458,0.498674,0.306996,0.049486
0.676263,0.406494,0.666667,0.75,0.323729,0.481583,0.323077,0.063326
0.69424,0.575974,0.636364,0.7,0.313559,0.353248,0.312844,0.105263
0.604317,0.10974,0.848485,0.6,0.083729,0.294315,0.082927,0.112812
0.532371,0.152597,0.848485,0.825,0.11209,0.28283,0.111445,0.101279
0.496404,0.144156,0.909091,0.775,0.042599,0.111833,0.041951,0.274062
0.514382,0.169481,0.878788,0.775,0.048475,0.11598,0.047805,0.274062
0.532371,0.237013,0.878788,0.85,0.077853,0.145011,0.077187,0.225834
0.676263,0.406494,0.848485,0.875,0.130395,0.193503,0.129456,0.213672
0.820142,0.406494,0.757576,0.8,0.220678,0.393851,0.219512,0.112812
0.766186,0.703247,0.515152,0.625,0.134802,0.135058,0.133659,0.354791
0.793164,0.575974,0.606061,0.7,0.194689,0.247312,0.193495,0.193542
0.802153,0.618831,0.515152,0.625,0.318079,0.385557,0.317073,0.112812
0.820142,0.703247,0.727273,0.775,0.233672,0.255607,0.232519,0.193542
0.811153,0.661039,0.878788,0.825,0.202712,0.231786,0.201501,0.213672
0.802153,0.661039,0.787879,0.725,0.220678,0.250077,0.219512,0.193542
0.892088,0.491558,0.636364,0.875,0.196949,0.323666,0.195497,0.16125
0.838131,0.618831,0.69697,0.775,0.190734,0.239443,0.189493,0.213672
0.856109,0.575974,0.757576,0.85,0.274802,0.377262,0.273546,0.126232
0.838131,0.661039,0.727273,0.8,0.324181,0.385876,0.323077,0.119312
0.730219,0.10974,0.848485,0.825,0.02565,0.128422,0.02439,0.354791
0.676263,0.237013,0.787879,0.8,0.048927,0.118468,0.047805,0.354791
0.712229,0.406494,0.818182,0.875,0.103503,0.161601,0.102439,0.274062
0.802153,0.508442,0.848485,0.825,0.173898,0.250077,0.172683,0.193542
0.820142,0.491558,0.545455,0.625,0.168701,0.255607,0.167481,0.193542
0.892088,0.575974,0.606061,0.65,0.173559,0.247099,0.172149,0.22122
0.874098,0.592857,0.787879,0.75,0.277514,0.37877,0.276275,0.128958
0.874098,0.703247,0.757576,0.8,0.233785,0.272196,0.232519,0.193542
0.892088,0.745455,0.666667,0.75,0.286893,0.323666,0.285553,0.16125
0.640284,0.237013,0.69697,0.8,0.076384,0.170533,0.075422,0.231076
0.784175,0.533766,0.727273,0.8,0.211638,0.285382,0.210507,0.16125
0.766186,0.491558,0.636364,0.7,0.238531,0.338979,0.237523,0.126232
0.820142,0.830519,0.818182,0.875,0.399096,0.3779,0.398124,0.119312
0.838131,0.745455,0.787879,0.85,0.266667,0.28283,0.26554,0.176138
0.784175,0.677922,0.757576,0.8,0.28226,0.307259,0.281264,0.147201
0.807558,0.677922,0.757576,0.8,0.282373,0.316146,0.281264,0.147201
0.820142,0.830519,0.69697,0.8,0.399096,0.3779,0.398124,0.119312
0.838131,0.677922,0.727273,0.725,0.331638,0.385876,0.330582,0.119312
0.748196,0.364286,0.727273,0.8,0.192768,0.345997,0.191745,0.119312
0.712229,0.491558,0.787879,0.825,0.196497,0.25986,0.195497,0.16125
0.784175,0.661039,0.787879,0.85,0.324068,0.361949,0.323077,0.119312
0.730219,0.177922,0.787879,0.85,0.092203,0.285382,0.091032,0.148249
0.802153,0.491558,0.909091,0.95,0.406554,0.604408,0.405629,0.056406
0.748196,0.491558,0.818182,0.875,0.266441,0.370456,0.26554,0.108828
0.550361,0.194805,0.727273,0.7,0.091073,0.202436,0.090432,0.16125
0.586328,0.152597,0.69697,0.725,0.12113,0.333236,0.12045,0.091424
0.640284,0.169481,0.333333,0.375,0.11435,0.319412,0.113447,0.108828
0.748196,0.406494,0.878788,0.95,0.211525,0.345997,0.210507,0.119312
0.820142,0.745455,0.909091,0.925,0.436497,0.457656,0.435647,0.091424
0.820142,0.728571,0.727273,0.8,0.427571,0.457656,0.426642,0.091424
0.838131,0.745455,0.818182,0.85,0.286667,0.304524,0.285553,0.16125
0.550361,0.237013,0.878788,0.775,0.046102,0.090777,0.045403,0.370937
0.676263,0.830519,0.909091,1.0,0.156045,0.116937,0.155185,0.359195
0.775174,0.466234,0.727273,0.775,0.163955,0.246537,0.162831,0.189138
0.784175,0.728571,0.818182,0.875,0.236497,0.239443,0.235422,0.198155
0.892088,0.830519,0.909091,0.95,0.267345,0.271983,0.266041,0.198155
0.964033,0.61039,0.878788,0.9,0.213898,0.312181,0.212308,0.184525
0.856109,0.830519,0.727273,0.775,0.250734,0.244547,0.249531,0.213672
0.964033,0.508442,0.909091,0.95,0.364972,0.62674,0.363602,0.071294
0.730219,0.322078,0.848485,0.775,0.186554,0.361949,0.185492,0.108828
0.766186,0.788312,0.818182,0.85,0.490282,0.458932,0.489681,0.082617
0.658273,0.448701,0.757576,0.825,0.246215,0.327919,0.245529,0.108828
0.730219,0.830519,0.69697,0.775,0.426328,0.361949,0.425642,0.108828
0.820142,0.830519,0.848485,0.925,0.514463,0.489559,0.513696,0.082617
0.766186,0.745455,0.818182,0.875,0.386441,0.378964,0.385615,0.108828
0.730219,0.830519,0.69697,0.775,0.367119,0.310414,0.366373,0.133361
0.802153,0.703247,0.787879,0.825,0.342825,0.369924,0.341839,0.119312
0.766186,0.661039,0.757576,0.825,0.323955,0.353973,0.323077,0.119312
0.784175,0.703247,0.848485,0.85,0.442373,0.469141,0.441651,0.082617
0.820142,0.830519,0.848485,0.9,0.573107,0.546275,0.572401,0.069616
0.874098,0.203247,0.969697,0.925,0.094915,0.317285,0.093433,0.16125
0.640284,0.364286,0.818182,0.7,0.118305,0.183294,0.117448,0.213672
0.856109,0.618831,0.787879,0.775,0.263051,0.338553,0.261788,0.145104
0.838131,0.406494,0.818182,0.8,0.43661,0.792633,0.435647,0.035437
0.676263,0.364286,0.818182,0.875,0.206328,0.336427,0.205502,0.108828
0.712229,0.661039,0.848485,0.9,0.27435,0.278576,0.273546,0.148249
0.820142,0.830519,0.818182,0.85,0.436497,0.414153,0.435647,0.105263
0.739208,0.661039,0.787879,0.8,0.274463,0.288785,0.273546,0.148249
0.712229,0.575974,0.757576,0.7,0.190395,0.217749,0.189493,0.198155
0.811153,0.279221,0.757576,0.725,0.295141,0.701028,0.29413,0.043405
0.964033,0.237013,0.757576,0.7,0.143164,0.460209,0.141463,0.112812
0.640284,0.237013,0.818182,0.7,0.106328,0.234338,0.105441,0.16125
0.640284,0.10974,0.757576,0.7,0.086328,0.319412,0.085427,0.108828
0.604317,0.237013,0.818182,0.8,0.106215,0.221577,0.105441,0.16125
0.820142,0.745455,0.818182,0.875,0.436497,0.457656,0.435647,0.091424
0.766186,0.745455,0.848485,0.875,0.436384,0.428944,0.435647,0.091424
0.784175,0.661039,0.848485,0.875,0.298079,0.3325,0.297099,0.133361
0.784175,0.618831,0.787879,0.8,0.280791,0.3325,0.279781,0.133361
0.56835,0.237013,0.818182,0.775,0.114124,0.22413,0.113447,0.148249
0.676263,0.491558,0.818182,0.8,0.32226,0.407888,0.321576,0.082617
0.69424,0.491558,0.787879,0.8,0.266328,0.344934,0.26554,0.108828
0.69424,0.661039,0.727273,0.75,0.391186,0.390661,0.390619,0.091424
0.730219,0.661039,0.818182,0.775,0.418305,0.438515,0.417636,0.082617
0.69424,0.661039,0.757576,0.8,0.346215,0.344934,0.345591,0.108828
0.69424,0.575974,0.757576,0.775,0.242373,0.271771,0.241525,0.148249
0.604317,0.22013,0.727273,0.65,0.107797,0.237741,0.107041,0.148249
0.496404,0.237013,0.727273,0.675,0.057966,0.101624,0.057411,0.301111
0.640284,0.575974,0.69697,0.7,0.226215,0.234338,0.225516,0.16125
0.586328,0.533766,0.787879,0.775,0.226102,0.230936,0.225516,0.148249
0.676263,0.661039,0.636364,0.675,0.364181,0.354292,0.363602,0.101279
0.820142,0.406494,0.939394,0.925,0.121808,0.218387,0.12045,0.231076
0.820142,0.448701,0.757576,0.775,0.298644,0.489559,0.297561,0.082617
0.820142,0.830519,0.69697,0.7,0.740565,0.708319,0.740125,0.043405
0.802153,0.661039,0.818182,0.825,0.391525,0.448086,0.390619,0.091424
0.820142,0.661039,0.757576,0.8,0.850169,1.0,0.849906,0.017194
0.856109,0.491558,0.787879,0.8,0.301695,0.476798,0.300563,0.091424
0.838131,0.745455,0.787879,0.775,0.43661,0.467227,0.435647,0.091424
0.802153,0.745455,0.848485,0.825,0.486441,0.500193,0.48568,0.077375
0.856109,0.914935,0.848485,0.85,0.429718,0.387471,0.428719,0.122038
0.856109,0.745455,0.787879,0.8,0.43661,0.476798,0.435647,0.091424
0.820142,0.618831,0.878788,0.875,0.394576,0.489559,0.393621,0.082617
0.856109,0.635714,0.878788,0.875,0.404294,0.509977,0.403227,0.082617
0.640284,0.067532,0.909091,0.675,0.024746,0.142459,0.02379,0.279304
0.604317,0.169481,0.787879,0.65,0.063051,0.173085,0.062214,0.213672
0.618699,0.198052,0.787879,0.75,0.065989,0.164791,0.065066,0.231076
0.807558,0.671429,0.787879,0.725,0.260226,0.293677,0.259137,0.16125
0.784175,0.491558,0.787879,0.675,0.322486,0.469141,0.321576,0.082617
0.820142,0.575974,0.818182,0.775,0.306667,0.404486,0.305567,0.108828
0.877694,0.740909,0.787879,0.725,0.434011,0.488283,0.432946,0.091424
0.838131,0.042208,1.0,0.825,0.054915,0.412993,0.053409,0.108828
0.820142,0.169481,0.727273,0.7,0.082825,0.298144,0.081426,0.16125
0.69424,0.322078,0.727273,0.7,0.146441,0.271771,0.145465,0.148249
0.676263,0.237013,0.787879,0.725,0.106441,0.247099,0.105441,0.16125
0.748196,0.406494,0.727273,0.725,0.178531,0.292189,0.177486,0.148249
0.820142,0.491558,0.727273,0.725,0.322599,0.489559,0.321576,0.082617
0.863844,0.42013,0.787879,0.8,0.33322,0.606363,0.332083,0.063326
0.910065,0.237013,0.909091,0.9,0.155028,0.470417,0.153471,0.101279
0.766186,0.491558,0.787879,0.775,0.112655,0.159048,0.111445,0.301111
0.748196,0.575974,0.878788,0.85,0.130621,0.15522,0.129456,0.301111
0.784175,0.575974,0.878788,0.825,0.166667,0.208816,0.165478,0.231076
0.820142,0.830519,0.636364,0.65,0.31661,0.298144,0.315572,0.16125
0.856109,1.0,0.484848,0.65,0.402599,0.333024,0.401627,0.148249
0.910065,0.745455,0.69697,0.75,0.286893,0.330046,0.285553,0.16125
0.892088,1.0,0.636364,0.65,0.376723,0.323666,0.37561,0.16125
0.784175,0.237013,0.878788,0.75,0.041582,0.119125,0.040258,0.410359
0.856109,0.575974,0.666667,0.7,0.130847,0.17819,0.129456,0.301111
0.964033,0.618831,0.787879,0.775,0.496836,0.719257,0.495685,0.056406
0.964033,1.0,0.787879,0.85,0.279548,0.25667,0.278049,0.231076
1.0,0.745455,0.848485,0.875,0.586893,0.744779,0.585741,0.056406
0.964033,1.0,0.848485,0.9,0.376949,0.349188,0.37561,0.16125
0.856109,0.830519,1.0,0.925,0.261808,0.255607,0.260539,0.203187
0.676263,0.745455,0.969697,0.85,0.136384,0.113109,0.13546,0.370937
0.820142,0.661039,0.818182,0.775,0.159548,0.183294,0.158274,0.279304
0.928054,0.914935,0.606061,0.7,0.346893,0.336427,0.345591,0.16125
0.874098,0.406494,0.909091,0.825,0.102147,0.195545,0.100638,0.279304
0.892088,0.745455,0.69697,0.725,0.226893,0.254756,0.225516,0.213672
0.928054,0.830519,0.69697,0.775,0.514689,0.550812,0.513696,0.082617
0.910065,0.830519,0.757576,0.8,0.25096,0.25986,0.249531,0.213672
0.856109,0.745455,0.636364,0.65,0.30678,0.333024,0.305567,0.148249
0.874098,0.830519,0.666667,0.7,0.23435,0.232743,0.233021,0.231076
0.838131,0.881169,0.666667,0.725,0.543277,0.499768,0.542514,0.082617
0.784175,0.237013,0.939394,0.775,0.114689,0.3058,0.113447,0.148249
0.0,0.152597,0.787879,0.725,0.092655,0.012807,0.093433,0.126232
0.784175,0.575974,0.909091,0.95,0.149831,0.187378,0.148668,0.260013
0.676263,0.703247,0.727273,0.75,0.191525,0.172065,0.190694,0.242818
0.712229,0.491558,0.757576,0.85,0.210395,0.278576,0.209507,0.148249
0.69424,0.575974,0.727273,0.85,0.27435,0.308352,0.273546,0.126232
0.136688,0.084416,0.030303,0.15,0.04,0.042923,0.040399,0.203187
0.190645,0.10974,0.030303,0.175,0.040226,0.049304,0.040399,0.237576
0.145689,0.194805,0.030303,0.15,0.059209,0.035416,0.05953,0.248689
0.118699,0.084416,0.060606,0.175,0.022712,0.019224,0.023102,0.318515
0.136688,0.101299,0.121212,0.275,0.024294,0.020882,0.024663,0.335919
0.172667,0.101299,0.121212,0.275,0.018418,0.020346,0.018618,0.405955
0.154678,0.097403,0.181818,0.275,0.021808,0.02225,0.022049,0.354791
0.172667,0.126623,0.181818,0.325,0.027458,0.025723,0.027653,0.353533
0.170857,0.118182,0.212121,0.275,0.016384,0.014594,0.016585,0.475781
0.199645,0.103896,0.212121,0.3,0.016497,0.021503,0.016627,0.440763
0.172667,0.101299,0.212121,0.3,0.019774,0.022127,0.020056,0.387083
0.190645,0.084416,0.272727,0.35,0.015819,0.023554,0.016027,0.403229
0.188847,0.025325,0.393939,0.35,0.006893,0.024892,0.007045,0.387083
0.217623,0.033766,0.424242,0.4,0.004746,0.021887,0.004878,0.467813
0.223016,0.016883,0.393939,0.375,0.002373,0.022665,0.002441,0.467813
0.226623,0.067532,0.424242,0.35,0.01322,0.029479,0.013241,0.403229
0.226623,0.0,0.454545,0.375,0.0,0.023184,0.0,0.467813
0.244601,0.033766,0.424242,0.4,0.006215,0.028886,0.006178,0.435521
0.230219,0.050649,0.454545,0.4,0.008701,0.026674,0.00878,0.435521
0.26259,0.025325,0.424242,0.425,0.004859,0.031651,0.004878,0.435521
0.28058,0.025325,0.212121,0.325,0.00791,0.042923,0.00788,0.370937
0.298557,0.101299,0.212121,0.325,0.012542,0.029364,0.012383,0.510799
0.284175,0.103896,0.181818,0.3,0.018418,0.037325,0.018308,0.41581
0.28058,0.07013,0.242424,0.275,0.018192,0.047831,0.018179,0.340952
0.28058,0.075974,0.30303,0.3,0.012768,0.034416,0.012683,0.435521
0.28058,0.135714,0.30303,0.375,0.019096,0.030162,0.018987,0.475781
0.253601,0.10974,0.363636,0.375,0.015367,0.026334,0.015385,0.475781
0.253601,0.108442,0.272727,0.35,0.013785,0.02425,0.01383,0.499895
0.248196,0.133117,0.30303,0.35,0.016271,0.02225,0.016252,0.516041
0.239208,0.07013,0.272727,0.4,0.00678,0.018798,0.006775,0.548333
0.271579,0.10974,0.333333,0.4,0.017514,0.03244,0.017528,0.440763
0.289568,0.133117,0.272727,0.35,0.014576,0.024898,0.014469,0.55064
0.298557,0.085714,0.484848,0.475,0.011299,0.031226,0.011212,0.490669
0.28058,0.084416,0.484848,0.475,0.014011,0.034416,0.013983,0.435521
0.284175,0.067532,0.454545,0.4,0.010508,0.032821,0.01038,0.454812
0.282377,0.067532,0.424242,0.475,0.011977,0.035698,0.011854,0.426924
0.273377,0.101299,0.545455,0.525,0.01661,0.033309,0.016585,0.435521
0.337753,0.237662,0.454545,0.45,0.037175,0.042501,0.036941,0.440763
0.352513,0.169481,0.363636,0.475,0.033672,0.055684,0.033396,0.370937
0.334536,0.126623,0.272727,0.4,0.018983,0.039545,0.018741,0.460893
0.352513,0.177922,0.424242,0.425,0.036949,0.05852,0.036731,0.356049
0.343525,0.169481,0.515152,0.5,0.044068,0.070387,0.043836,0.296079
0.334536,0.084416,0.454545,0.475,0.019887,0.055429,0.019707,0.354791
0.379491,0.192208,0.454545,0.475,0.051977,0.082656,0.051653,0.280981
0.356109,0.203247,0.484848,0.425,0.041582,0.059181,0.041402,0.356049
0.298557,0.194805,0.484848,0.5,0.044294,0.054153,0.044203,0.326064
0.363312,0.279221,0.454545,0.475,0.055819,0.060737,0.05561,0.354791
0.334536,0.169481,0.454545,0.5,0.041582,0.064723,0.041402,0.310967
0.379491,0.330519,0.424242,0.5,0.069153,0.067865,0.068872,0.335919
0.440651,0.406494,0.333333,0.475,0.079209,0.074731,0.078757,0.356049
0.467629,0.175974,0.272727,0.4,0.05322,0.111833,0.052734,0.258125
0.514382,0.406494,0.393939,0.425,0.180904,0.207221,0.180488,0.145104
0.465831,0.317532,0.333333,0.375,0.227119,0.293278,0.226831,0.08052
0.462235,0.292208,0.212121,0.3,0.187232,0.256529,0.186993,0.096666
0.491011,0.186364,0.272727,0.4,0.097175,0.199767,0.096708,0.143846
0.325535,0.177922,0.424242,0.475,0.058079,0.084396,0.058011,0.237576
0.408267,0.279221,0.515152,0.525,0.336497,0.428689,0.336585,0.032292
0.446044,0.307143,0.393939,0.425,0.130734,0.165429,0.130356,0.16125
0.478415,0.351299,0.424242,0.525,0.283842,0.346453,0.283623,0.064374
0.496404,0.448701,0.424242,0.5,0.492655,0.509977,0.492683,0.032292
0.478415,0.335714,0.454545,0.5,0.656271,0.836233,0.656585,0.0
0.526872,0.575974,0.30303,0.4,0.297853,0.258598,0.297561,0.112812
0.478415,0.496753,0.363636,0.375,0.44452,0.407676,0.444554,0.048438
0.496404,0.508442,0.484848,0.525,0.266554,0.244547,0.266341,0.112812
0.496404,0.433766,0.454545,0.5,0.293898,0.310905,0.293659,0.08052
0.505393,0.637013,0.363636,0.425,0.66565,0.518271,0.665951,0.032292
0.517989,0.542857,0.484848,0.475,0.579209,0.529884,0.579317,0.032292
0.523383,0.555195,0.515152,0.475,0.264859,0.235614,0.26454,0.126232
0.516192,0.488961,0.393939,0.4,0.344294,0.341167,0.344048,0.07381
0.370503,0.423377,0.454545,0.45,0.106554,0.082801,0.106341,0.274062
0.487404,0.488961,0.363636,0.45,0.344181,0.323666,0.344048,0.07381
0.532371,0.237013,0.363636,0.4,0.245876,0.449149,0.245529,0.048438
0.514382,0.533766,0.484848,0.575,0.323277,0.294953,0.323077,0.091424
0.532371,0.533766,0.393939,0.45,0.435706,0.412993,0.435647,0.056406
0.435245,0.205195,0.424242,0.4,0.07887,0.135532,0.078511,0.196268
0.352513,0.194805,0.484848,0.4,0.099322,0.145011,0.099188,0.145104
0.460426,0.330519,0.212121,0.275,0.189831,0.234338,0.189493,0.108828
0.458628,0.211688,0.363636,0.4,0.117062,0.204582,0.116629,0.128958
0.424459,0.5,0.454545,0.475,0.198644,0.157772,0.198499,0.16125
0.494607,0.451299,0.484848,0.45,0.240452,0.243718,0.240195,0.112812
0.476617,0.305195,0.484848,0.5,0.219774,0.299499,0.219512,0.08052
0.442448,0.472727,0.545455,0.5,0.229831,0.20116,0.229598,0.126232
0.464033,0.508442,0.454545,0.475,0.201808,0.171809,0.201501,0.16125
0.465831,0.483117,0.242424,0.275,0.370056,0.338158,0.370035,0.064374
0.487404,0.377273,0.515152,0.55,0.206215,0.2404,0.205854,0.112812
0.442448,0.448701,0.484848,0.5,0.239209,0.219663,0.239024,0.112812
0.388492,0.266883,0.515152,0.525,0.062825,0.077146,0.062529,0.306354
0.442448,0.491558,0.515152,0.525,0.167797,0.139481,0.167481,0.193542
0.442448,0.364286,0.454545,0.5,0.121695,0.1315,0.121333,0.206123
0.460426,0.466234,0.484848,0.475,0.35887,0.334604,0.358886,0.064374
0.478415,0.431818,0.545455,0.55,0.292881,0.300536,0.292683,0.08052
0.45683,0.491558,0.545455,0.55,0.180791,0.155676,0.180488,0.177396
0.478415,0.44026,0.515152,0.55,0.152203,0.150541,0.151871,0.193542
0.460426,0.364286,0.484848,0.5,0.16452,0.186485,0.164227,0.145104
0.469426,0.364286,0.424242,0.475,0.105085,0.119667,0.104606,0.241979
0.496404,0.364286,0.515152,0.55,0.164633,0.200309,0.164227,0.145104
0.478415,0.406494,0.545455,0.5,0.079548,0.081972,0.079024,0.354791
0.478415,0.364286,0.484848,0.525,0.071751,0.081972,0.07122,0.354791
0.40647,0.305195,0.545455,0.55,0.089718,0.103538,0.089432,0.241979
0.440651,0.305195,0.575758,0.525,0.073446,0.091359,0.073072,0.296079
0.40647,0.253896,0.575758,0.575,0.056949,0.07649,0.056627,0.322499
0.45683,0.355844,0.545455,0.575,0.051751,0.056362,0.051221,0.467813
0.478415,0.364286,0.515152,0.525,0.057401,0.064829,0.05691,0.435521
0.460426,0.279221,0.515152,0.525,0.044407,0.062065,0.043902,0.435521
0.478415,0.355844,0.515152,0.5,0.081695,0.095997,0.081153,0.306354
0.424459,0.330519,0.515152,0.5,0.090395,0.101355,0.090116,0.258125
0.334536,0.253896,0.606061,0.5,0.067458,0.074507,0.067317,0.274062
0.338131,0.186364,0.606061,0.525,0.03322,0.048198,0.032997,0.400923
0.307558,0.096104,0.575758,0.55,0.031186,0.068286,0.031024,0.274062
0.374098,0.169481,0.515152,0.5,0.016949,0.031374,0.016585,0.596771
0.408267,0.167532,0.575758,0.55,0.018418,0.038272,0.018023,0.564479
0.298557,0.169481,0.545455,0.475,0.035367,0.048793,0.035317,0.354791
0.316546,0.161039,0.545455,0.5,0.033898,0.052111,0.033756,0.354791
