F/A(MF),T/D3(MT),UEP (MPa),LEP (MPa),SE(kW· h/m3),FPI,TPI,PR(mm/r)
0.420863,0.355844,0.454545,0.375,0.196271,0.20971,0.196098,0.112812
0.498202,0.39026,0.363636,0.475,0.174689,0.201,0.17431,0.145104
0.424459,0.398052,0.545455,0.5,0.139096,0.133952,0.138861,0.193542
0.442448,0.296753,0.484848,0.5,0.098644,0.127146,0.098236,0.213672
0.447842,0.44026,0.333333,0.325,0.193785,0.181646,0.193495,0.145104
0.442448,0.338961,0.242424,0.35,0.141808,0.164153,0.141463,0.16125
0.424459,0.448701,0.393939,0.45,0.141695,0.122041,0.141463,0.213672
0.478415,0.474675,0.30303,0.4,0.20678,0.193397,0.206505,0.145104
0.469426,0.381169,0.333333,0.4,0.134011,0.147776,0.133659,0.193542
0.496404,0.381169,0.484848,0.35,0.171186,0.200309,0.170732,0.145104
0.40647,0.22013,0.333333,0.375,0.040452,0.061809,0.04012,0.388341
0.361514,0.245455,0.363636,0.35,0.054463,0.066658,0.054289,0.326064
0.413672,0.211688,0.424242,0.325,0.043729,0.070332,0.043314,0.353533
0.40647,0.164935,0.545455,0.35,0.034915,0.0687,0.034537,0.354791
0.388492,0.152597,0.606061,0.375,0.019209,0.040735,0.018816,0.516041
0.370503,0.194805,0.545455,0.525,0.031186,0.04824,0.030895,0.435521
0.370503,0.177922,0.575758,0.525,0.020452,0.035163,0.020173,0.548333
0.365109,0.152597,0.575758,0.5,0.016497,0.033033,0.016174,0.564479
0.368705,0.092857,0.575758,0.45,0.011299,0.038129,0.011011,0.516041
0.356109,0.126623,0.575758,0.45,0.013333,0.031941,0.013094,0.564479
0.34712,0.134416,0.575758,0.525,0.010734,0.024483,0.010492,0.650451
0.348918,0.15,0.606061,0.525,0.014576,0.028471,0.014343,0.596771
0.370503,0.135714,0.636364,0.475,0.012994,0.03096,0.012683,0.596771
0.334536,0.135714,0.575758,0.45,0.012881,0.026812,0.012683,0.596771
0.334536,0.161039,0.606061,0.525,0.015819,0.026812,0.01561,0.596771
0.32194,0.124675,0.545455,0.475,0.011638,0.025361,0.011416,0.596771
0.316546,0.14026,0.484848,0.45,0.013446,0.024739,0.013268,0.596771
0.336334,0.087662,0.575758,0.475,0.007458,0.02702,0.00722,0.596771
0.352513,0.152597,0.545455,0.475,0.014915,0.028886,0.014634,0.596771
0.275174,0.065584,0.424242,0.3,0.014011,0.039638,0.013983,0.387083
