estimator,n_estimators,max_depth,min_samples_leaf,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
random_forest,500,None,1,0.7,0.15,0.15,837,180,180,0.9990596827375968,0.9980703771191437,0.00010540954737716416,0.010266915183109489,0.004673249555555652,0.9928309726016883,0.9842673452548089,0.0009545391206491806,0.030895616528063986,0.014690011988888878,0.9935504106721804,0.9869691127221164,0.0007299068699460422,0.02701678866827148,0.013564379766666931
random_forest,500,None,1,0.6,0.2,0.2,717,240,240,0.9990187854577326,0.9979755674145117,0.00011122506734019658,0.010546329567209465,0.005189315991631948,0.9947841393235938,0.9878031742146728,0.0006996241981810322,0.02645041017037415,0.014092678450000161,0.9955754018414561,0.9908931288949363,0.0005135374702080431,0.022661365144404762,0.012774370166666821
random_forest,500,None,1,0.7,0.1,0.2,837,120,240,0.9991005777043127,0.9981566993850353,0.00010099593603723374,0.010049673429382356,0.004794867923536518,0.9949503877954705,0.9869655271856345,0.0007899761448084181,0.028106514277092744,0.014384834700000175,0.9953457609862054,0.990503327451729,0.0005355184167613376,0.02314127085450014,0.012445913250000195
