estimator,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
linear_regression,0.7,0.15,0.15,837,180,180,0.7980941502993588,0.636954272742055,0.01983210614215507,0.14082651079308567,0.10648349814108855,0.7411058806481338,0.5226853474612212,0.028959861897852834,0.1701759733271793,0.12641592765029322,0.773682807019524,0.5685815311320968,0.024165300300213324,0.1554519227935548,0.1163504205142243
linear_regression,0.6,0.2,0.2,717,240,240,0.7880412311647701,0.6210089820156866,0.02082227968409606,0.14429927125282394,0.1081632532907107,0.7552362812226674,0.5701304637062947,0.024657819579068978,0.1570280853193752,0.11424546036849392,0.7860799289376955,0.6121329661884061,0.0218718649932303,0.1478913959405019,0.11199392166522613
linear_regression,0.7,0.1,0.2,837,120,240,0.7842146308965458,0.614992587312205,0.02109486847126173,0.14524072593891058,0.10920675397457412,0.7636347654215402,0.5700146258737845,0.02605998669941353,0.16143105865790985,0.11707872213398193,0.7914549781473206,0.62342327418459,0.021235203274914558,0.14572303618479324,0.11102108908778742
