estimator,kernel,degree,gamma,coef0,tol,max_iter,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
rvm,rbf,3,scale,0.0,0.001,5000,0.7,0.15,0.15,837,180,180,0.9982146657666472,0.996431993871766,0.00019490954152098037,0.013961000734939468,0.009629349573619573,0.8375475452252806,0.623597917627777,0.022837246385764783,0.15111997348386738,0.0340883291643461,0.9766350848998133,0.9455284216354665,0.0030511490443599983,0.05523720706516576,0.02341836790206042
rvm,rbf,3,scale,0.0,0.001,5000,0.6,0.2,0.2,717,240,240,0.9975795232875756,0.9951640760711089,0.0002656922085223408,0.01630006774594329,0.011595830785886716,0.9847914353712395,0.9698062969683362,0.0017319461346292598,0.041616656937207966,0.021333597518034802,0.9911033139741338,0.9816461721348011,0.001034974386020169,0.03217101779583868,0.019913031073468927
rvm,rbf,3,scale,0.0,0.001,5000,0.7,0.1,0.2,837,120,240,0.9980594834019513,0.9961221389700134,0.0002124711516755472,0.014576390214163012,0.010145580065285386,0.9906392938881792,0.9813413679713767,0.0011308377720597635,0.03362793142701114,0.016916470254974076,0.9889998981979989,0.975274965996215,0.0013942474057913872,0.03733962246449992,0.02004687828529659
