estimator,train,val,test,n_train,n_val,n_test,val_r2,val_mse,val_rmse,val_mae,test_r2,test_mse,test_rmse,test_mae
linear_regression,0.7,0.15,0.15,837,180,180,0.9940633540112697,0.00036019101248123387,0.018978698914341674,0.012554746115748423,0.9960092963635728,0.00022353366566915274,0.014951042293738344,0.010450272333892093
linear_regression,0.8,0.2,0.0,957,240,0,0.9960432116428123,0.00022312373367939633,0.014937326858557937,0.010475623296124802,,,,
linear_regression,0.6,0.2,0.2,717,240,240,0.9954737680432743,0.00025962996104405536,0.01611303699009145,0.010877690524990635,0.9959888220113373,0.00022619077102196792,0.015039639989772625,0.01066132558591886
