estimator,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,reg_lambda,train,val,test,n_train,n_val,n_test,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
xgboost,1000,0.05,4,0.8,0.8,1.0,0.7,0.15,0.15,837,180,180,0.9989078754400502,0.9977841497324565,0.00013444112262857037,0.01159487484316111,0.006255207746183869,0.9991412025903693,0.9982479527658568,9.813846788787942e-05,0.00990648615240941,0.005083921609561974
xgboost,1000,0.05,4,0.8,0.8,1.0,0.6,0.2,0.2,717,240,240,0.9991416282244924,0.9981547633309951,0.00010584493438939276,0.010288096733088815,0.005687877060418825,0.9993684635902639,0.9987351017507025,7.132775236641283e-05,0.008445575904958336,0.004960094347109896
xgboost,1000,0.05,4,0.8,0.8,1.0,0.7,0.1,0.2,837,120,240,0.9992100529589728,0.998235070596842,0.00010696651453590876,0.010342461725136273,0.005672234654148423,0.9993890688859329,0.9987740067539971,6.913389492186843e-05,0.008314679484013104,0.004712678596633672
