estimator,n_estimators,learning_rate,base_max_depth,base_min_samples_leaf,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
adaboost,500,0.05,3,1,0.7,0.15,0.15,837,180,180,0.9924216934282016,0.9845300856197642,0.0008450753196191874,0.029070179215463867,0.02337992159235131,0.9905829597148782,0.979396718840554,0.0012500520858653391,0.03535607565702589,0.026925727495307326,0.9912055732532988,0.9823119879547655,0.000990769180347169,0.031476486149936894,0.024328141143925484
adaboost,500,0.05,3,1,0.6,0.2,0.2,717,240,240,0.9936744721056746,0.987233275987032,0.0007014211034908691,0.026484355825484394,0.021324276283099786,0.9933920530068606,0.9863785106156503,0.0007813445691764817,0.02795254137241338,0.02241929013357546,0.9929401522200605,0.9858731633093003,0.000796613885547393,0.0282243491607405,0.0219650535723197
adaboost,500,0.05,3,1,0.7,0.1,0.2,837,120,240,0.9934591236942938,0.9868054580136634,0.0007229396592579837,0.02688753724791439,0.021953442844450884,0.9940939054698128,0.987325374133805,0.0007681670153648815,0.027715826081228058,0.0212475227416237,0.992861602269337,0.9857323486994455,0.0008045544369924443,0.028364668815137686,0.022039600414236155
