estimator,kernel,C,epsilon,gamma,train,val,test,n_train,n_val,n_test,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
svr,rbf,10.0,0.01,scale,0.7,0.15,0.15,837,180,180,0.9991477950777113,0.9982648181476648,0.00010527777964496266,0.01026049607206994,0.005902132398287545,0.9994775353516047,0.9989544969547421,5.856238635249713e-05,0.007652606507099207,0.005378685628504666
svr,rbf,10.0,0.01,scale,0.6,0.2,0.2,717,240,240,0.9994158517508047,0.998808663326504,6.833646553851937e-05,0.008266587296975662,0.005531451531255919,0.9993074946345526,0.9986049442697872,7.86673471302744e-05,0.008869461490433024,0.005888372550542602
svr,rbf,10.0,0.01,scale,0.7,0.1,0.2,837,120,240,0.9996322394249295,0.9992614628057045,4.4760288648127195e-05,0.006690313045600123,0.00478840433930493,0.9994916028420727,0.998966830437297,5.826054606520516e-05,0.0076328596256714405,0.005307607225006004
