estimator,n_estimators,max_depth,min_samples_leaf,train,val,test,n_train,n_val,n_test,train_r,train_r2,train_mse,train_rmse,train_mae,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
random_forest,500,None,1,0.7,0.15,0.15,837,180,180,0.9998268531826537,0.9996527851640262,1.8967311730046527e-05,0.004355147727694955,0.001916978776583193,0.9983647383485797,0.996688325646601,0.00020092748340111316,0.014174889184791293,0.006532905222222352,0.998971683855616,0.9978954927157703,0.00011788102313016309,0.010857302755756748,0.004013542166666641
random_forest,500,None,1,0.6,0.2,0.2,717,240,240,0.9997829414856085,0.9995624497460929,2.4039603395243396e-05,0.004903019824072038,0.0022297828340308253,0.9986422659245876,0.9971446327871186,0.0001637872043091504,0.012797937502158322,0.006052843141666797,0.9986871145798398,0.997295697352241,0.00015249592581088121,0.01234892407503104,0.005318571233333471
random_forest,500,None,1,0.7,0.1,0.2,837,120,240,0.9998050724874946,0.9996078332992577,2.148713167160858e-05,0.00463542141251565,0.00202296943130238,0.9986393449987057,0.9969900076755522,0.00018242564668588212,0.013506503866133609,0.005806625000000408,0.9988571416850466,0.9976348034179803,0.00013337369720756975,0.011548753058558736,0.004595794991666761
