estimator,kernel,degree,gamma,coef0,tol,max_iter,train,val,test,n_train,n_val,n_test,val_r,val_r2,val_mse,val_rmse,val_mae,test_r,test_r2,test_mse,test_rmse,test_mae
rvm,rbf,3,scale,0.0,0.001,5000,0.7,0.15,0.15,837,180,180,0.9998719728843498,0.9997361093321111,1.60109002678784e-05,0.004001362301501627,0.0007508323734994483,0.999956534467609,0.9999104005401813,5.018788043400811e-06,0.002240265172563465,0.0006549625511943962
rvm,rbf,3,scale,0.0,0.001,5000,0.6,0.2,0.2,717,240,240,0.9999856141708601,0.9999701984537814,1.7094515609782842e-06,0.0013074599653443634,0.0005255293573953216,0.9999756283958446,0.999949906633878,2.8247704635061853e-06,0.0016807053470213585,0.0006020984394539286
rvm,rbf,3,scale,0.0,0.001,5000,0.7,0.1,0.2,837,120,240,0.9999940661924928,0.9999872259338258,7.741937624541008e-07,0.000879882811773307,0.0004074363699668784,0.9999816661862531,0.999962314541658,2.125087169600764e-06,0.0014577678723311075,0.00048560955406350213
