Dataset,Model,Rows,Features,CV MAE (mean),CV MAE (std),CV RMSE (mean),CV RMSE (std),CV R2 (mean),CV R2 (std),Test MAE,Test RMSE,Test R2
D0_raw_no_drop_outliers,RandomForest,1197,9,0.2634740421393338,0.03348405418588749,0.5963221145690547,0.10653124600112512,0.9971504416857255,0.0006962420298346013,0.17823847222224387,0.4683106722720424,0.998289942654817
D1_iqr_removed,RandomForest,1071,9,0.28454554898228634,0.0066078866056663845,0.6008745688288943,0.0591665554593069,0.9971501595505696,0.000625063189979615,0.19796418604651367,0.41014745670660385,0.9985533794553837
D2_winsorized_1_99,RandomForest,1197,9,0.27705090332315996,0.04307642066971988,0.6220568485162479,0.1244989067865244,0.9968979109621973,0.0008651554690705997,0.18822208333335563,0.4884066425586102,0.9981400310759283
